Asset,Lag_Days,Information_Horizon,Specification,Model,Variable,Coefficient,HAC_Std_Error,z_statistic,p_value,CI_95_Lower,CI_95_Upper
BTC,1,t-1,Primary,Baseline,const,0.014727143090408268,0.03160929496722326,0.4659117865703533,0.6412786440856768,-0.04722593662205252,0.07668022280286906
BTC,1,t-1,Primary,Baseline,BTC_Return_Lag_1,-0.13066429817974687,0.06741704703638308,-1.9381492355966143,0.05260501805212557,-0.2627992823151005,0.0014706859556067597
BTC,1,t-1,Primary,Baseline,Log_BTC_Volume_Lag_1,-0.0005885456848248248,0.001316396091653658,-0.44708859936335205,0.6548110902271791,-0.0031686346138552826,0.0019915432442056333
BTC,1,t-1,Primary,Baseline,SP500_Aligned_Lag_1,0.0791393531060873,0.14550787317624725,0.5438836495825164,0.58652154104764,-0.2060508377863791,0.36432954399855366
BTC,1,t-1,Primary,Baseline,VIX_Aligned_Lag_1,6.900163839181124e-05,0.0007241863532909751,0.09528160545727195,0.9240911528932897,-0.0013503775321538995,0.0014883808089375219
BTC,1,t-1,Primary,Baseline,Gold_Aligned_Lag_1,0.05208940207429551,0.08077730518051442,0.6448519414938445,0.5190231380294672,-0.10623120684771349,0.21041001099630452
BTC,1,t-1,Primary,Baseline,DXY_Aligned_Lag_1,-0.026471867376058042,0.20896345968257793,-0.1266818008099102,0.8991922506236124,-0.4360327224387984,0.3830889876866823
BTC,1,t-1,Primary,Baseline,US10Y_Aligned_Lag_1,-0.00024429277293751533,0.014865487192683319,-0.01643355308649113,0.9868885118675343,-0.029380112283238256,0.028891526737363223
BTC,1,t-1,Primary,Cross_Crypto,const,0.013009587720866085,0.0318955711292964,0.407880695038461,0.6833612663967439,-0.049504582958890396,0.07552375840062256
BTC,1,t-1,Primary,Cross_Crypto,BTC_Return_Lag_1,-0.17355143776900445,0.11605834913731804,-1.4953808929649832,0.1348150642355259,-0.40102162218332305,0.05391874664531415
BTC,1,t-1,Primary,Cross_Crypto,ETH_Return_Lag_1,0.046992883966372745,0.07389214569786472,0.6359658868010205,0.5247986567689469,-0.0978330603418284,0.1918188282745739
BTC,1,t-1,Primary,Cross_Crypto,Log_BTC_Volume_Lag_1,-0.0005172219548846169,0.001328205439520363,-0.3894141218631015,0.6969698271354512,-0.0031204567804147213,0.002086012870645488
BTC,1,t-1,Primary,Cross_Crypto,SP500_Aligned_Lag_1,0.06540249803907504,0.14256517011700423,0.45875509414675936,0.6464100454207975,-0.21402010084007922,0.3448250969182293
BTC,1,t-1,Primary,Cross_Crypto,VIX_Aligned_Lag_1,0.0001290465447601723,0.0007188681763884106,0.1795135033080771,0.857534515442362,-0.0012799091905930993,0.001538002280113444
BTC,1,t-1,Primary,Cross_Crypto,Gold_Aligned_Lag_1,0.05379417423805696,0.08088231099902286,0.6650919536498759,0.5059916808221719,-0.10473224230639572,0.21232059078250964
BTC,1,t-1,Primary,Cross_Crypto,DXY_Aligned_Lag_1,-0.02190512828565569,0.20916746711184267,-0.10472531215355269,0.9165937762066277,-0.4318658305623335,0.3880555739910222
BTC,1,t-1,Primary,Cross_Crypto,US10Y_Aligned_Lag_1,0.00055055600109887,0.01505217709139612,0.03657650303713008,0.970822678850873,-0.028951168986956387,0.03005228098915413
ETH,1,t-1,Primary,Baseline,const,-0.00697040487755135,0.03269345174593683,-0.2132049234727146,0.8311671281798089,-0.07104839282988569,0.05710758307478299
ETH,1,t-1,Primary,Baseline,ETH_Return_Lag_1,-0.06223959119825388,0.047567009592929796,-1.3084612997724576,0.1907168926742029,-0.15546921685266754,0.030990034456159776
ETH,1,t-1,Primary,Baseline,Log_ETH_Volume_Lag_1,0.0003187231335445092,0.0014139443473818818,0.2254141997417863,0.8216570660861389,-0.00245255686346797,0.0030900031305569884
ETH,1,t-1,Primary,Baseline,SP500_Aligned_Lag_1,0.05719909638075884,0.17573886633628014,0.3254777817407057,0.744819495608476,-0.2872427523222488,0.4016409450837664
ETH,1,t-1,Primary,Baseline,VIX_Aligned_Lag_1,-0.0004635206074327612,0.000983276276535082,-0.47140424160962996,0.6373520875634617,-0.002390706696294169,0.0014636654814286464
ETH,1,t-1,Primary,Baseline,Gold_Aligned_Lag_1,0.059323225592409864,0.11178112125128821,0.530708807787399,0.5956205815677539,-0.15976374621161987,0.27841019739643963
ETH,1,t-1,Primary,Baseline,DXY_Aligned_Lag_1,0.2881906129515495,0.3163125386687537,0.9110944958566635,0.3622455863127684,-0.3317705706976409,0.90815179660074
ETH,1,t-1,Primary,Baseline,US10Y_Aligned_Lag_1,-0.013733449267935235,0.01698797332814186,-0.8084218760330132,0.41884776280582836,-0.04702926516142032,0.01956236662554985
ETH,1,t-1,Primary,Cross_Crypto,const,-0.006421181767683104,0.03262871247856756,-0.1967954381252681,0.8439876211592781,-0.07037228308758817,0.057529919552221954
ETH,1,t-1,Primary,Cross_Crypto,ETH_Return_Lag_1,-0.054686483486127084,0.046210193699396364,-1.1834290036062205,0.23663916828012166,-0.1452567988555637,0.03588383188330952
ETH,1,t-1,Primary,Cross_Crypto,BTC_Return_Lag_1,-0.012481410240948752,0.04268747446249055,-0.29239045874958375,0.769988102474108,-0.09614732277840354,0.07118450229650602
ETH,1,t-1,Primary,Cross_Crypto,Log_ETH_Volume_Lag_1,0.0002953606972227391,0.0014111604799679203,0.2093034076673218,0.8342113917585663,-0.0024704630199206407,0.0030611844143661193
ETH,1,t-1,Primary,Cross_Crypto,SP500_Aligned_Lag_1,0.05937087719381424,0.17546882749466114,0.3383556956612175,0.7350951569515598,-0.2845417051051932,0.4032834594928217
ETH,1,t-1,Primary,Cross_Crypto,VIX_Aligned_Lag_1,-0.00045796184912609556,0.0009786639739521829,-0.4679459562373463,0.6398232380316226,-0.0023761079910392196,0.0014601842927870284
ETH,1,t-1,Primary,Cross_Crypto,Gold_Aligned_Lag_1,0.05974013855552681,0.11177358608281898,0.5344745628118451,0.5930132438967399,-0.1593320645896858,0.27881234170073943
ETH,1,t-1,Primary,Cross_Crypto,DXY_Aligned_Lag_1,0.2870436431401074,0.3159585118696046,0.9084852357406015,0.3636219107563965,-0.3322236607331888,0.9063109470134036
ETH,1,t-1,Primary,Cross_Crypto,US10Y_Aligned_Lag_1,-0.013555072640535466,0.01699064166491169,-0.7977963933244966,0.4249886546392285,-0.04685611837798804,0.019745973096917106
BTC,2,t-2,Robustness,Baseline,const,0.03771650650645141,0.031583178986936356,1.1941960156085607,0.2324013013181071,-0.02418538682522607,0.0996183998381289
BTC,2,t-2,Robustness,Baseline,BTC_Return_Lag_2,0.020068709539599317,0.037073745776321526,0.5413186372016641,0.5882879766972671,-0.052594496953984826,0.09273191603318345
BTC,2,t-2,Robustness,Baseline,Log_BTC_Volume_Lag_2,-0.0015360956295026856,0.001307914812589204,-1.1744615281646402,0.24021021294300637,-0.00409956155702398,0.0010273702980186086
BTC,2,t-2,Robustness,Baseline,SP500_Aligned_Lag_2,0.08682471165156659,0.13274251021223193,0.6540836956657603,0.5130578851288825,-0.17334582758184836,0.3469952508849815
BTC,2,t-2,Robustness,Baseline,VIX_Aligned_Lag_2,-0.0001158762249058085,0.0007206354554526279,-0.16079728526960577,0.8722530634551358,-0.0015282957635755776,0.0012965433137639608
BTC,2,t-2,Robustness,Baseline,Gold_Aligned_Lag_2,-0.09443362195289635,0.08232710280423622,-1.1470538709159723,0.25135935707861246,-0.2557917784007258,0.06692453449493312
BTC,2,t-2,Robustness,Baseline,DXY_Aligned_Lag_2,0.09971664119160065,0.24858869705407513,0.4011310344086539,0.688323652969949,-0.3875082519981249,0.5869415343813261
BTC,2,t-2,Robustness,Baseline,US10Y_Aligned_Lag_2,-0.027876380589750047,0.013945667069399752,-1.9989277279476814,0.045616174125974726,-0.055209385786159804,-0.0005433753933402896
BTC,2,t-2,Robustness,Cross_Crypto,const,0.039050025931913306,0.03140073851274453,1.2436021501871422,0.2136460244403826,-0.022494290641025795,0.10059434250485241
BTC,2,t-2,Robustness,Cross_Crypto,BTC_Return_Lag_2,0.05520346562368854,0.03574283368313649,1.54446248199212,0.12247633347840499,-0.014851201100664124,0.1252581323480412
BTC,2,t-2,Robustness,Cross_Crypto,ETH_Return_Lag_2,-0.03857635265849993,0.04135100115190016,-0.9329000890883454,0.35087155638115175,-0.11962282564089853,0.04247012032389867
BTC,2,t-2,Robustness,Cross_Crypto,Log_BTC_Volume_Lag_2,-0.001591416963693474,0.0013002510921574402,-1.2239304956498187,0.220978448318928,-0.004139862275180928,0.0009570283477939793
BTC,2,t-2,Robustness,Cross_Crypto,SP500_Aligned_Lag_2,0.09821074386320935,0.13362981631876064,0.7349463358457171,0.46237217731952296,-0.16369888338226427,0.360120371108683
BTC,2,t-2,Robustness,Cross_Crypto,VIX_Aligned_Lag_2,-0.00016526417410816976,0.0007300614538306072,-0.22637022300113827,0.8209134854548737,-0.0015961583301171112,0.0012656299819007717
BTC,2,t-2,Robustness,Cross_Crypto,Gold_Aligned_Lag_2,-0.09642460367591948,0.08204162469072047,-1.1753131905836798,0.2398694392051277,-0.25722323330288366,0.06437402595104469
BTC,2,t-2,Robustness,Cross_Crypto,DXY_Aligned_Lag_2,0.09557550066689184,0.24911839993877288,0.3836549234837006,0.701234226312006,-0.3926875910993482,0.5838385924331319
BTC,2,t-2,Robustness,Cross_Crypto,US10Y_Aligned_Lag_2,-0.028528559749329694,0.013814953190946368,-2.065049324092237,0.038918333567787775,-0.05560537045169127,-0.0014517490469681156
ETH,2,t-2,Robustness,Baseline,const,-0.007725924026902311,0.03158229221550307,-0.2446283497785452,0.8067442109271483,-0.06962607931850805,0.05417423126470342
ETH,2,t-2,Robustness,Baseline,ETH_Return_Lag_2,0.02236829946853371,0.05096100538217536,0.4389297130381473,0.6607124662134352,-0.07751343569648185,0.12225003463354926
ETH,2,t-2,Robustness,Baseline,Log_ETH_Volume_Lag_2,0.0003551551300814512,0.001356147092117802,0.26188540472171773,0.7934097923709985,-0.002302844328208164,0.003013154588371066
ETH,2,t-2,Robustness,Baseline,SP500_Aligned_Lag_2,0.10913737614369888,0.17366074048875474,0.6284516341260562,0.529708121159499,-0.23123142074281716,0.44950617303021495
ETH,2,t-2,Robustness,Baseline,VIX_Aligned_Lag_2,-0.00012224954133212152,0.0011087729665029964,-0.11025660349358017,0.9122058727612432,-0.0022954046227096304,0.0020509055400453873
ETH,2,t-2,Robustness,Baseline,Gold_Aligned_Lag_2,-0.06029300648309518,0.10992542764411957,-0.5484900789132434,0.5833554396440344,-0.2757428856507332,0.1551568726845428
ETH,2,t-2,Robustness,Baseline,DXY_Aligned_Lag_2,0.1624718162028656,0.32943726991825517,0.4931798282664876,0.6218855295365553,-0.48321336800211506,0.8081570004078462
ETH,2,t-2,Robustness,Baseline,US10Y_Aligned_Lag_2,-0.031244240793216763,0.017182921968076977,-1.8183310644873665,0.06901354758700234,-0.06492214899980975,0.0024336674133762157
ETH,2,t-2,Robustness,Cross_Crypto,const,-0.009986112165019446,0.03161101821637107,-0.3159060583454324,0.7520738133424077,-0.07194256938374632,0.05197034505370743
ETH,2,t-2,Robustness,Cross_Crypto,ETH_Return_Lag_2,-0.007681187721615343,0.057044300380943845,-0.13465302703898727,0.8928862138346167,-0.11948596199154976,0.10412358654831907
ETH,2,t-2,Robustness,Cross_Crypto,BTC_Return_Lag_2,0.04966309498456914,0.04695124835242243,1.0577587759071114,0.2901654314290627,-0.04235966081537437,0.14168585078451265
ETH,2,t-2,Robustness,Cross_Crypto,Log_ETH_Volume_Lag_2,0.0004513988808062835,0.001357482702242239,0.33252643297824697,0.7394917835288813,-0.0022092183252246152,0.003112016086837182
ETH,2,t-2,Robustness,Cross_Crypto,SP500_Aligned_Lag_2,0.10056127835839965,0.17433508046553392,0.5768275558187534,0.5640559527514045,-0.24112920059593915,0.44225175731273847
ETH,2,t-2,Robustness,Cross_Crypto,VIX_Aligned_Lag_2,-0.00014439629404509045,0.0011112123159073175,-0.12994482870466498,0.896610076767557,-0.002322332412400778,0.002033539824310597
ETH,2,t-2,Robustness,Cross_Crypto,Gold_Aligned_Lag_2,-0.06270780316638147,0.11042254406832831,-0.5678894984304884,0.5701100031688913,-0.27913201262159193,0.153716406288829
ETH,2,t-2,Robustness,Cross_Crypto,DXY_Aligned_Lag_2,0.1665806122728079,0.33031015901076954,0.5043157400053707,0.6140395183986185,-0.48081540311599885,0.8139766276616147
ETH,2,t-2,Robustness,Cross_Crypto,US10Y_Aligned_Lag_2,-0.03195299778059285,0.01717748183560986,-1.8601677525487197,0.06286179590133315,-0.06562024352347916,0.0017142479622934553
BTC,3,t-3,Robustness,Baseline,const,0.04341323491206721,0.029756567635481145,1.4589463221659384,0.1445798822601445,-0.014908565957006029,0.10173503578114045
BTC,3,t-3,Robustness,Baseline,BTC_Return_Lag_3,-0.0078070278910390796,0.03177184055565767,-0.24572161242477555,0.8058977407479058,-0.07007869110267717,0.05446463532059901
BTC,3,t-3,Robustness,Baseline,Log_BTC_Volume_Lag_3,-0.001769538593312147,0.001235146863366996,-1.4326544039373628,0.15195662594150428,-0.004190381961129074,0.0006513047745047803
BTC,3,t-3,Robustness,Baseline,SP500_Aligned_Lag_3,-0.01004875426116297,0.11587453361765204,-0.08672098991414769,0.9308932917322095,-0.23715866687713671,0.21706115835481077
