Asset,Lag_Days,Information_Horizon,Specification,Model,N,R_squared,Adjusted_R_squared,AIC,BIC
BTC,1,t-1,Primary,Baseline,1815,0.016117393248019085,0.012306005175377166,-7250.001805358039,-7205.971079384447
BTC,1,t-1,Primary,Cross_Crypto,1815,0.017474213978933006,0.013121940286702216,-7250.506503798588,-7200.971937078297
ETH,1,t-1,Primary,Baseline,1815,0.004552208867880547,0.0006960193062176545,-6441.006115533321,-6396.975389559729
ETH,1,t-1,Primary,Cross_Crypto,1815,0.00459326193386167,0.0001839297608111634,-6439.080969133796,-6389.546402413505
BTC,2,t-2,Robustness,Baseline,1815,0.005041927710146665,0.0011876352330968398,-7229.6846771813325,-7185.653951207741
BTC,2,t-2,Robustness,Cross_Crypto,1815,0.0059586815950227745,0.0015553977925643059,-7229.357788220645,-7179.823221500354
ETH,2,t-2,Robustness,Baseline,1815,0.003852515602647988,-6.384447590823683e-06,-6439.730812921138,-6395.700086947546
ETH,2,t-2,Robustness,Cross_Crypto,1815,0.004505223662273239,9.550150795323287e-05,-6438.920449427638,-6389.385882707347
BTC,3,t-3,Robustness,Baseline,1815,0.00439040017907133,0.0005335837990233516,-7228.496551273638,-7184.465825300046
BTC,3,t-3,Robustness,Cross_Crypto,1815,0.005365273988687025,0.0009593615811063216,-7228.274620511667,-7178.740053791376
ETH,3,t-3,Robustness,Baseline,1815,0.003177537399850272,-0.0006839773971620833,-6438.501406038446,-6394.470680064854
ETH,3,t-3,Robustness,Cross_Crypto,1815,0.0032919467651861822,-0.0011231498161419218,-6436.709732920492,-6387.175166200201
BTC,7,t-7,Robustness,Baseline,1815,0.0023983808550311903,-0.001466152257318054,-7224.868720723152,-7180.8379947495605
BTC,7,t-7,Robustness,Cross_Crypto,1815,0.002664995407730908,-0.0017528783667641878,-7223.35385434622,-7173.819287625929
ETH,7,t-7,Robustness,Baseline,1815,0.0012607507187769595,-0.0026081893725171668,-6435.014699638596,-6390.983973665004
ETH,7,t-7,Robustness,Cross_Crypto,1815,0.0014520736398665468,-0.0029711729885284477,-6433.362422396818,-6383.827855676527
