Asset,Lag_Days,Information_Horizon,Specification,Model,Dependent_Variable,Sample_Design,Predictors
BTC,1,t-1,Primary,Baseline,BTC_Return,"Common sample across t-1, t-2, t-3, t-7",BTC_Return_Lag_1 | Log_BTC_Volume_Lag_1 | SP500_Aligned_Lag_1 | VIX_Aligned_Lag_1 | Gold_Aligned_Lag_1 | DXY_Aligned_Lag_1 | US10Y_Aligned_Lag_1
BTC,1,t-1,Primary,Cross_Crypto,BTC_Return,"Common sample across t-1, t-2, t-3, t-7",BTC_Return_Lag_1 | ETH_Return_Lag_1 | Log_BTC_Volume_Lag_1 | SP500_Aligned_Lag_1 | VIX_Aligned_Lag_1 | Gold_Aligned_Lag_1 | DXY_Aligned_Lag_1 | US10Y_Aligned_Lag_1
ETH,1,t-1,Primary,Baseline,ETH_Return,"Common sample across t-1, t-2, t-3, t-7",ETH_Return_Lag_1 | Log_ETH_Volume_Lag_1 | SP500_Aligned_Lag_1 | VIX_Aligned_Lag_1 | Gold_Aligned_Lag_1 | DXY_Aligned_Lag_1 | US10Y_Aligned_Lag_1
ETH,1,t-1,Primary,Cross_Crypto,ETH_Return,"Common sample across t-1, t-2, t-3, t-7",ETH_Return_Lag_1 | BTC_Return_Lag_1 | Log_ETH_Volume_Lag_1 | SP500_Aligned_Lag_1 | VIX_Aligned_Lag_1 | Gold_Aligned_Lag_1 | DXY_Aligned_Lag_1 | US10Y_Aligned_Lag_1
BTC,2,t-2,Robustness,Baseline,BTC_Return,"Common sample across t-1, t-2, t-3, t-7",BTC_Return_Lag_2 | Log_BTC_Volume_Lag_2 | SP500_Aligned_Lag_2 | VIX_Aligned_Lag_2 | Gold_Aligned_Lag_2 | DXY_Aligned_Lag_2 | US10Y_Aligned_Lag_2
BTC,2,t-2,Robustness,Cross_Crypto,BTC_Return,"Common sample across t-1, t-2, t-3, t-7",BTC_Return_Lag_2 | ETH_Return_Lag_2 | Log_BTC_Volume_Lag_2 | SP500_Aligned_Lag_2 | VIX_Aligned_Lag_2 | Gold_Aligned_Lag_2 | DXY_Aligned_Lag_2 | US10Y_Aligned_Lag_2
ETH,2,t-2,Robustness,Baseline,ETH_Return,"Common sample across t-1, t-2, t-3, t-7",ETH_Return_Lag_2 | Log_ETH_Volume_Lag_2 | SP500_Aligned_Lag_2 | VIX_Aligned_Lag_2 | Gold_Aligned_Lag_2 | DXY_Aligned_Lag_2 | US10Y_Aligned_Lag_2
ETH,2,t-2,Robustness,Cross_Crypto,ETH_Return,"Common sample across t-1, t-2, t-3, t-7",ETH_Return_Lag_2 | BTC_Return_Lag_2 | Log_ETH_Volume_Lag_2 | SP500_Aligned_Lag_2 | VIX_Aligned_Lag_2 | Gold_Aligned_Lag_2 | DXY_Aligned_Lag_2 | US10Y_Aligned_Lag_2
BTC,3,t-3,Robustness,Baseline,BTC_Return,"Common sample across t-1, t-2, t-3, t-7",BTC_Return_Lag_3 | Log_BTC_Volume_Lag_3 | SP500_Aligned_Lag_3 | VIX_Aligned_Lag_3 | Gold_Aligned_Lag_3 | DXY_Aligned_Lag_3 | US10Y_Aligned_Lag_3
BTC,3,t-3,Robustness,Cross_Crypto,BTC_Return,"Common sample across t-1, t-2, t-3, t-7",BTC_Return_Lag_3 | ETH_Return_Lag_3 | Log_BTC_Volume_Lag_3 | SP500_Aligned_Lag_3 | VIX_Aligned_Lag_3 | Gold_Aligned_Lag_3 | DXY_Aligned_Lag_3 | US10Y_Aligned_Lag_3
ETH,3,t-3,Robustness,Baseline,ETH_Return,"Common sample across t-1, t-2, t-3, t-7",ETH_Return_Lag_3 | Log_ETH_Volume_Lag_3 | SP500_Aligned_Lag_3 | VIX_Aligned_Lag_3 | Gold_Aligned_Lag_3 | DXY_Aligned_Lag_3 | US10Y_Aligned_Lag_3
ETH,3,t-3,Robustness,Cross_Crypto,ETH_Return,"Common sample across t-1, t-2, t-3, t-7",ETH_Return_Lag_3 | BTC_Return_Lag_3 | Log_ETH_Volume_Lag_3 | SP500_Aligned_Lag_3 | VIX_Aligned_Lag_3 | Gold_Aligned_Lag_3 | DXY_Aligned_Lag_3 | US10Y_Aligned_Lag_3
BTC,7,t-7,Robustness,Baseline,BTC_Return,"Common sample across t-1, t-2, t-3, t-7",BTC_Return_Lag_7 | Log_BTC_Volume_Lag_7 | SP500_Aligned_Lag_7 | VIX_Aligned_Lag_7 | Gold_Aligned_Lag_7 | DXY_Aligned_Lag_7 | US10Y_Aligned_Lag_7
BTC,7,t-7,Robustness,Cross_Crypto,BTC_Return,"Common sample across t-1, t-2, t-3, t-7",BTC_Return_Lag_7 | ETH_Return_Lag_7 | Log_BTC_Volume_Lag_7 | SP500_Aligned_Lag_7 | VIX_Aligned_Lag_7 | Gold_Aligned_Lag_7 | DXY_Aligned_Lag_7 | US10Y_Aligned_Lag_7
ETH,7,t-7,Robustness,Baseline,ETH_Return,"Common sample across t-1, t-2, t-3, t-7",ETH_Return_Lag_7 | Log_ETH_Volume_Lag_7 | SP500_Aligned_Lag_7 | VIX_Aligned_Lag_7 | Gold_Aligned_Lag_7 | DXY_Aligned_Lag_7 | US10Y_Aligned_Lag_7
ETH,7,t-7,Robustness,Cross_Crypto,ETH_Return,"Common sample across t-1, t-2, t-3, t-7",ETH_Return_Lag_7 | BTC_Return_Lag_7 | Log_ETH_Volume_Lag_7 | SP500_Aligned_Lag_7 | VIX_Aligned_Lag_7 | Gold_Aligned_Lag_7 | DXY_Aligned_Lag_7 | US10Y_Aligned_Lag_7
