Asset,Lag_Days,Specification,Model,N,R_squared,Adjusted_R_squared,AIC,BIC
BTC,1,Primary,Baseline,1821,0.013687447403473274,0.009879290829741483,-7244.219803942029,-7200.162675304208
BTC,1,Primary,Cross_Crypto,1821,0.014588037502276663,0.010237432811337488,-7243.883296657579,-7194.319026940031
ETH,1,Primary,Baseline,1821,0.004283252423555872,0.000438786216697018,-6424.708495650872,-6380.651367013051
ETH,1,Primary,Cross_Crypto,1821,0.004303962823228313,-9.204617092972711e-05,-6422.746371914491,-6373.182102196943
BTC,2,Robustness,Baseline,1820,0.004682758212452787,0.0008377136801609453,-7226.095691139526,-7182.042956898959
BTC,2,Robustness,Cross_Crypto,1820,0.005799727222701612,0.0014078982982297372,-7226.139285928071,-7176.5799599074335
ETH,2,Robustness,Baseline,1820,0.003527230504089429,-0.0003222779873406356,-6423.209774530378,-6379.157040289811
ETH,2,Robustness,Cross_Crypto,1820,0.004654433852275819,0.00025754565283797604,-6423.269711700346,-6373.710385679708
BTC,3,Robustness,Baseline,1819,0.004406093315705295,0.0005578562385157859,-7229.750066075427,-7185.701728647282
BTC,3,Robustness,Cross_Crypto,1819,0.004992928015311149,0.0005951067026715995,-7228.822558615062,-7179.268179008399
ETH,3,Robustness,Baseline,1819,0.0029350225261648433,-0.0009189006335905692,-6419.564890261521,-6375.516552833376
ETH,3,Robustness,Cross_Crypto,1819,0.002951795443226657,-0.0014550474498420396,-6417.595490265987,-6368.041110659324
BTC,7,Robustness,Baseline,1815,0.0023983808550311903,-0.001466152257318054,-7224.868720723152,-7180.8379947495605
BTC,7,Robustness,Cross_Crypto,1815,0.002664995407730908,-0.0017528783667641878,-7223.35385434622,-7173.819287625929
ETH,7,Robustness,Baseline,1815,0.0012607507187769595,-0.0026081893725171668,-6435.014699638596,-6390.983973665004
ETH,7,Robustness,Cross_Crypto,1815,0.0014520736398665468,-0.0029711729885284477,-6433.362422396818,-6383.827855676527
