Variable,Total_Observations,Missing_Total,Missing_Percent,Missing_Weekday,Missing_Weekend
BTC_Return,1826,1,0.054764512595837894,1,0
ETH_Return,1826,1,0.054764512595837894,1,0
BTC_Lagged_Return,1826,2,0.10952902519167579,1,1
ETH_Lagged_Return,1826,2,0.10952902519167579,1,1
Lagged_Log_BTC_Volume,1826,1,0.054764512595837894,1,0
Lagged_SP500_Return_Aligned,1826,5,0.2738225629791895,3,2
Lagged_VIX_Change_Aligned,1826,5,0.2738225629791895,3,2
Lagged_Gold_Return_Aligned,1826,5,0.2738225629791895,3,2
Lagged_DXY_Return_Aligned,1826,4,0.21905805038335158,2,2
Lagged_US10Y_Change_Aligned,1826,5,0.2738225629791895,3,2
Lagged_Log_ETH_Volume,1826,1,0.054764512595837894,1,0
