Model,Variable,Coefficient,HAC_Std_Error,t_statistic,p_value,CI_95_Lower,CI_95_Upper
BTC_Baseline,const,0.04071252048379772,0.05286455245598274,0.770128916114379,0.4412234247941641,-0.0629000983887569,0.14432513935635236
BTC_Baseline,BTC_Lagged_Return,-0.1248667363242081,0.08541096088889753,-1.4619521314908819,0.14375432779580072,-0.29226914355140643,0.04253567090299022
BTC_Baseline,Lagged_Log_BTC_Volume,-0.0016457009243510889,0.0021867699217782174,-0.7525715933630791,0.45170739304201724,-0.005931691213511866,0.002640289364809689
BTC_Baseline,Lagged_SP500_Return,-0.04729938964383407,0.19904193927068567,-0.23763529343185105,0.8121639743023907,-0.4374144220273866,0.3428156427397185
BTC_Baseline,Lagged_VIX_Change,-0.00011347158896813655,0.0009899047987581967,-0.11462878966793873,0.9087393592617485,-0.0020536493426575723,0.001826706164721299
BTC_Baseline,Lagged_Gold_Return,0.09222939683802944,0.11473349769429714,0.80385762389787,0.42147920581917775,-0.13264412646310228,0.3171029201391612
BTC_Baseline,Lagged_DXY_Return,-0.096059876405554,0.26835966516483317,-0.35795199083495516,0.7203792419161548,-0.6220351550318551,0.4299154022207471
BTC_Baseline,Lagged_US10Y_Change,-0.011121265627782696,0.020563335870200296,-0.5408298389902421,0.5886248738582454,-0.05142466333537589,0.029182132079810495
BTC_Cross_Crypto,const,0.038366462157219665,0.05057870267260102,0.7585497478171411,0.4481219431987332,-0.06076597346583811,0.13749889778027743
BTC_Cross_Crypto,BTC_Lagged_Return,-0.17359759215234474,0.14232632909977927,-1.219715236459464,0.22257284360947693,-0.4525520712397072,0.10535688693501769
BTC_Cross_Crypto,ETH_Lagged_Return,0.056558812608189735,0.09128210082637067,0.6196046332869931,0.5355181155978086,-0.12235081744465068,0.23546844266103015
BTC_Cross_Crypto,Lagged_Log_BTC_Volume,-0.0015486528917686327,0.0020930135936477264,-0.7399153529001328,0.4593513579841849,-0.0056508841544709275,0.0025535783709336626
BTC_Cross_Crypto,Lagged_SP500_Return,-0.06407046543145656,0.18871616594783613,-0.33950703221242085,0.7342278004095718,-0.4339473539896995,0.3058064231267864
BTC_Cross_Crypto,Lagged_VIX_Change,-1.407172878269418e-05,0.0009969954691579788,-0.014114135137021817,0.9887389233706066,-0.0019681469410819472,0.0019400034835165586
BTC_Cross_Crypto,Lagged_Gold_Return,0.09578523107673817,0.11641991430718987,0.8227564128246627,0.4106465279079088,-0.13239360804859335,0.3239640702020697
BTC_Cross_Crypto,Lagged_DXY_Return,-0.08225649680710938,0.27214396432434734,-0.3022536142270428,0.7624587360267171,-0.6156488654927835,0.4511358718785648
BTC_Cross_Crypto,Lagged_US10Y_Change,-0.010580202749091317,0.02062489484815189,-0.512982142550868,0.6079638122057146,-0.05100425383639473,0.029843848338212093
ETH_Baseline,const,-0.005039931613863027,0.042774855951158014,-0.11782463089105003,0.9062066128549706,-0.08887710872202154,0.07879724549429548
ETH_Baseline,ETH_Lagged_Return,-0.04479682001810635,0.057365821512835924,-0.7808973851805262,0.434862850117659,-0.1572317641268178,0.0676381240906051
ETH_Baseline,Lagged_Log_ETH_Volume,0.0002192353070480256,0.0018446752683631746,0.11884764262197672,0.9053960627842841,-0.0033962617821155557,0.0038347323962116065
ETH_Baseline,Lagged_SP500_Return,-0.16635003946548643,0.22716313401516702,-0.7322932930410254,0.4639895721173938,-0.6115816007504595,0.2788815218194866
ETH_Baseline,Lagged_VIX_Change,-0.0007096534247635151,0.0013999623191604884,-0.5069089467987046,0.612218707825336,-0.0034535291500312412,0.0020342223005042105
ETH_Baseline,Lagged_Gold_Return,0.08499250645397693,0.16173852781403267,0.5254932612698288,0.5992403366217278,-0.23200918297405687,0.40199419588201074
ETH_Baseline,Lagged_DXY_Return,0.25656197716845663,0.4063325038080269,0.631408944064367,0.5277731694042369,-0.5398350960432604,1.0529590503801738
ETH_Baseline,Lagged_US10Y_Change,-0.007721321099432268,0.024674779826573803,-0.3129236067637247,0.754338702024236,-0.0560830008859724,0.04064035868710787
ETH_Cross_Crypto,const,-0.00583626596486734,0.042721570620589455,-0.13661169006868346,0.8913377358007784,-0.08956900574420716,0.07789647381447247
ETH_Cross_Crypto,ETH_Lagged_Return,-0.05495700417723108,0.06369954338716799,-0.8627535026931126,0.3882730089503298,-0.1798058150477269,0.06989180669326474
ETH_Cross_Crypto,BTC_Lagged_Return,0.016655086732245625,0.04758152118599931,0.35003266640298847,0.7263141822841317,-0.07660298112194258,0.10991315458643383
ETH_Cross_Crypto,Lagged_Log_ETH_Volume,0.00025308370176113437,0.0018423304588180095,0.13737150170306917,0.8907371558168817,-0.0033578176451433176,0.0038639850486655862
ETH_Cross_Crypto,Lagged_SP500_Return,-0.17030657771496416,0.22612707634556986,-0.753145445770058,0.4513625177432903,-0.6135075032816203,0.272894347851692
ETH_Cross_Crypto,Lagged_VIX_Change,-0.0007189208644136416,0.0013982497070176654,-0.5141577078868351,0.6071417335992564,-0.003459439931561948,0.0020215982027346653
ETH_Cross_Crypto,Lagged_Gold_Return,0.08402469587258553,0.16090299575959396,0.5222071564045164,0.6015261038427215,-0.23133938082081967,0.39938877256599076
ETH_Cross_Crypto,Lagged_DXY_Return,0.2559493214899652,0.40649905389515606,0.6296430927388565,0.5289281227508786,-0.5407741838941471,1.0526728268740775
ETH_Cross_Crypto,Lagged_US10Y_Change,-0.007813851771410434,0.024632617805889066,-0.31721564605863084,0.7510799786967176,-0.05609289551589305,0.04046519197307218
