Asset,Predictor_Label,One_SD_Effect_Log_Return,One_SD_Effect_CI_Lower_Log_Return,One_SD_Effect_CI_Upper_Log_Return,One_SD_Effect_Approx_Basis_Points,One_SD_Effect_Exact_CI_Lower_Percent,One_SD_Effect_Exact_CI_Upper_Percent,HAC_P_Value
BTC,Bitcoin lagged return,-0.00396577385895069,-0.00846012400347193,0.0005285762855705509,-39.6577385895069,-0.8424437861699441,0.05287160066320684,0.08369153338509248
BTC,Bitcoin lagged log trading volume,-0.00029850186418957337,-0.0018009781713299907,0.0012039744429508438,-2.9850186418957336,-0.1799357383290512,0.12046995111392178,0.6968392452179165
BTC,Lagged S&P 500 return,0.0007725828903555543,-0.002331304467666052,0.003876470248377161,7.725828903555543,-0.2328589087941091,0.3883993477220127,0.6254835559078894
BTC,Lagged VIX change,0.00015107081729707401,-0.002481212840217052,0.0027833544748112,1.5107081729707401,-0.2478137175956241,0.278723160218286,0.9103914637310816
BTC,Lagged gold futures return,0.0008014596730216019,-0.0009105710318418307,0.0025134903778850346,8.014596730216018,-0.09101565878428808,0.251665184304084,0.3586684332582836
BTC,Lagged US Dollar Index return,-9.56833358464405e-05,-0.0019071390195416317,0.0017157723478487508,-0.956833358464405,-0.1905321585471742,0.17172451274212186,0.9175007142367455
BTC,Lagged US 10-year Treasury yield change,8.056901108567163e-05,-0.0017641613144209127,0.001925299336592256,0.8056901108567163,-0.17626060965354462,0.19271539153753459,0.9317469118819202
ETH,Ethereum lagged return,-0.0024981276556439143,-0.0063451894848962805,0.0013489341736084516,-24.981276556439145,-0.6325101280374668,0.1349844394540778,0.20297831150903384
ETH,Ethereum lagged log trading volume,0.00020968548546992414,-0.0016321866098832226,0.002051557580823071,2.0968548546992416,-0.16308553177227791,0.20536634649446217,0.823343866605208
ETH,Lagged S&P 500 return,0.0005493787804579909,-0.003179655558902248,0.004278413119818229,5.493787804579909,-0.3174605807739983,0.4287578595799424,0.7726572970409877
ETH,Lagged VIX change,-0.0008404864924314912,-0.004396833605826167,0.002715860620963185,-8.404864924314912,-0.43871816840936884,0.2719551911339657,0.6430501987183963
ETH,Lagged gold futures return,0.000842778487318378,-0.0014555146020138045,0.0031410715766505603,8.42778487318378,-0.14544558543719832,0.3146009911175751,0.47211398540033367
ETH,Lagged US Dollar Index return,0.0012139466768234764,-0.0015240205410234943,0.003951913894670448,12.139466768234763,-0.15228598114521708,0.3959733003140675,0.3846451393378851
ETH,Lagged US 10-year Treasury yield change,-0.0007920140482177212,-0.00290252476979123,0.0013184966733557873,-7.920140482177212,-0.28983165172752345,0.13193662722403854,0.46182010429950965
