Asset,Predictor_Label,One_SD_Effect_Approx_Basis_Points,Absolute_One_SD_Effect_Basis_Points,Effect_as_Fraction_of_Daily_Return_SD,HAC_P_Value,Significance,Statistically_Significant_5pct,Statistically_Significant_10pct
BTC,Bitcoin lagged return,-39.6577385895069,39.6577385895069,-0.11945556563682501,0.08369153338509248,*,False,True
BTC,Lagged gold futures return,8.014596730216018,8.014596730216018,0.02414127027435497,0.3586684332582836,,False,False
BTC,Lagged S&P 500 return,7.725828903555543,7.725828903555543,0.023271454563769525,0.6254835559078894,,False,False
BTC,Bitcoin lagged log trading volume,-2.9850186418957336,2.9850186418957336,-0.008991362165024441,0.6968392452179165,,False,False
BTC,Lagged VIX change,1.5107081729707401,1.5107081729707401,0.004550498987911104,0.9103914637310816,,False,False
BTC,Lagged US Dollar Index return,-0.956833358464405,0.956833358464405,-0.002882137865667182,0.9175007142367455,,False,False
BTC,Lagged US 10-year Treasury yield change,0.8056901108567163,0.8056901108567163,0.0024268697949875206,0.9317469118819202,,False,False
ETH,Ethereum lagged return,-24.981276556439145,24.981276556439145,-0.06037124431155561,0.20297831150903384,,False,False
ETH,Lagged US Dollar Index return,12.139466768234763,12.139466768234763,0.02933696011976644,0.3846451393378851,,False,False
ETH,Lagged gold futures return,8.42778487318378,8.42778487318378,0.02036708806432328,0.47211398540033367,,False,False
ETH,Lagged VIX change,-8.404864924314912,8.404864924314912,-0.020311698347563027,0.6430501987183963,,False,False
ETH,Lagged US 10-year Treasury yield change,-7.920140482177212,7.920140482177212,-0.0191402843225846,0.46182010429950965,,False,False
ETH,Lagged S&P 500 return,5.493787804579909,5.493787804579909,0.013276615588351444,0.7726572970409877,,False,False
ETH,Ethereum lagged log trading volume,2.0968548546992416,2.0968548546992416,0.005067384624357386,0.823343866605208,,False,False
