Asset,Period,Start_Date,End_Date,N,Variable,Coefficient,HAC_SE,T_Statistic,P_Value,CI_95_Lower,CI_95_Upper,Sign,Significance,Significant_5pct,R_Squared,Adjusted_R_Squared,HAC_Maxlags
BTC,Full_2021_2025,2021-01-06,2025-12-31,1821,const,0.012881492213800066,0.031504315989331955,0.4088802378112897,0.6826758449284009,-0.04890708226401125,0.07467006669161139,Positive,,False,0.013687447403473274,0.009879290829741483,7
BTC,Full_2021_2025,2021-01-06,2025-12-31,1821,BTC_Lagged_Return,-0.11924172554615935,0.06875005008091796,-1.7344238354126769,0.08301287505697119,-0.2540793646561947,0.015595913563875977,Negative,*,False,0.013687447403473274,0.009879290829741483,7
BTC,Full_2021_2025,2021-01-06,2025-12-31,1821,Lagged_Log_BTC_Volume,-0.0005123507691376557,0.0013119998496199832,-0.39051130172465837,0.6962043781827636,-0.0030855410726685273,0.0020608395343932155,Negative,,False,0.013687447403473274,0.009879290829741483,7
BTC,Full_2021_2025,2021-01-06,2025-12-31,1821,Lagged_SP500_Return_Aligned,0.07148308249650734,0.14610663755115688,0.48925280668018034,0.6247219116291722,-0.21507196790005492,0.3580381328930696,Positive,,False,0.013687447403473274,0.009879290829741483,7
BTC,Full_2021_2025,2021-01-06,2025-12-31,1821,Lagged_VIX_Change_Aligned,8.191353646343959e-05,0.0007261286844028654,0.1128085671629974,0.9101948149445408,-0.0013422232805966215,0.0015060503535235005,Positive,,False,0.013687447403473274,0.009879290829741483,7
BTC,Full_2021_2025,2021-01-06,2025-12-31,1821,Lagged_Gold_Return_Aligned,0.07905408872834827,0.08591322454917141,0.9201620488950755,0.3576104963418034,-0.08944522658714577,0.2475534040438423,Positive,,False,0.013687447403473274,0.009879290829741483,7
BTC,Full_2021_2025,2021-01-06,2025-12-31,1821,Lagged_DXY_Return_Aligned,-0.021798844640199728,0.2099571602946332,-0.10382520229178836,0.9173195494173967,-0.43358222188945145,0.389984532609052,Negative,,False,0.013687447403473274,0.009879290829741483,7
BTC,Full_2021_2025,2021-01-06,2025-12-31,1821,Lagged_US10Y_Change_Aligned,0.0012726808911085149,0.014824845831303907,0.08584783313032114,0.9315968606286043,-0.027802893740626757,0.030348255522843787,Positive,,False,0.013687447403473274,0.009879290829741483,7
ETH,Full_2021_2025,2021-01-06,2025-12-31,1821,const,-0.006862429342118727,0.03231750154697693,-0.21234405550018945,0.8318624977669582,-0.07024588295997679,0.05652102427573934,Negative,,False,0.004283252423555872,0.000438786216697018,7
ETH,Full_2021_2025,2021-01-06,2025-12-31,1821,ETH_Lagged_Return,-0.06031860963293443,0.04725760081808558,-1.2763790075828474,0.2019850472854497,-0.15300368137928583,0.032366462113416976,Negative,,False,0.004283252423555872,0.000438786216697018,7
ETH,Full_2021_2025,2021-01-06,2025-12-31,1821,Lagged_Log_ETH_Volume,0.0003127099430185981,0.0013974574635742581,0.2237706342909244,0.8229609926132541,-0.0024280860989227752,0.0030535059849599714,Positive,,False,0.004283252423555872,0.000438786216697018,7
ETH,Full_2021_2025,2021-01-06,2025-12-31,1821,Lagged_SP500_Return_Aligned,0.050831165400564225,0.17553364725967335,0.28958075100762776,0.7721701065801654,-0.2934382940836179,0.3951006248847463,Positive,,False,0.004283252423555872,0.000438786216697018,7
ETH,Full_2021_2025,2021-01-06,2025-12-31,1821,Lagged_VIX_Change_Aligned,-0.00045572812920863736,0.0009810362357254218,-0.4645375090265159,0.6423184711274319,-0.0023798083262545934,0.0014683520678373185,Negative,,False,0.004283252423555872,0.000438786216697018,7
ETH,Full_2021_2025,2021-01-06,2025-12-31,1821,Lagged_Gold_Return_Aligned,0.08312967895642882,0.11533307767360129,0.7207791609592714,0.47113832372577547,-0.1430700094292393,0.309329367342097,Positive,,False,0.004283252423555872,0.000438786216697018,7
ETH,Full_2021_2025,2021-01-06,2025-12-31,1821,Lagged_DXY_Return_Aligned,0.27656472023541123,0.3173446787648142,0.8714963216395217,0.38359860123418166,-0.3458349321054496,0.898964372576272,Positive,,False,0.004283252423555872,0.000438786216697018,7
ETH,Full_2021_2025,2021-01-06,2025-12-31,1821,Lagged_US10Y_Change_Aligned,-0.012510779654281382,0.016960742521565684,-0.7376316006433004,0.46083380234850546,-0.04577543148318036,0.020753872174617594,Negative,,False,0.004283252423555872,0.000438786216697018,7
