Asset,Window_Start,Window_End,N,Variable,Coefficient,HAC_SE,T_Statistic,P_Value,CI_95_Lower,CI_95_Upper,Sign,Significance,Significant_5pct,R_Squared,Adjusted_R_Squared,HAC_Maxlags
BTC,2021-01-06,2022-01-05,365,const,-0.028767339963748202,0.14038024164072815,-0.20492442260764715,0.8377479606751839,-0.30484350365080626,0.24730882372330987,Negative,,False,0.01795977417381711,-0.0012959165286570151,7
BTC,2021-01-06,2022-01-05,365,BTC_Lagged_Return,-0.1142896693972875,0.09366778048901914,-1.220159897038298,0.2232096498596574,-0.29849964935067247,0.06992031055609745,Negative,,False,0.01795977417381711,-0.0012959165286570151,7
BTC,2021-01-06,2022-01-05,365,Lagged_Log_BTC_Volume,0.0011712088276082404,0.005763059730030503,0.2032269111328543,0.8390734623935366,-0.010162604270093313,0.012505021925309794,Positive,,False,0.01795977417381711,-0.0012959165286570151,7
BTC,2021-01-06,2022-01-05,365,Lagged_SP500_Return_Aligned,0.7076736700210872,0.5328450726744834,1.3281039955368172,0.18499220730059912,-0.34023607699307956,1.755583417035254,Positive,,False,0.01795977417381711,-0.0012959165286570151,7
BTC,2021-01-06,2022-01-05,365,Lagged_VIX_Change_Aligned,0.0015455322575506736,0.002161583906034718,0.7149998911612224,0.47507641634976444,-0.0027055061029119727,0.00579657061801332,Positive,,False,0.01795977417381711,-0.0012959165286570151,7
BTC,2021-01-06,2022-01-05,365,Lagged_Gold_Return_Aligned,0.14876350483517609,0.33126838717003737,0.44907244577737804,0.6536518802470348,-0.502719242393329,0.8002462520636812,Positive,,False,0.01795977417381711,-0.0012959165286570151,7
BTC,2021-01-06,2022-01-05,365,Lagged_DXY_Return_Aligned,0.5999542473785031,0.7181388621493671,0.8354293006548328,0.40403479488902305,-0.8123600479921449,2.012268542749151,Positive,,False,0.01795977417381711,-0.0012959165286570151,7
BTC,2021-01-06,2022-01-05,365,Lagged_US10Y_Change_Aligned,0.02548870690616763,0.051247237299877256,0.49736743381927984,0.6192361494210536,-0.07529570910530657,0.12627312291764184,Positive,,False,0.01795977417381711,-0.0012959165286570151,7
BTC,2021-01-13,2022-01-12,365,const,-0.009213419390656837,0.14457126198192366,-0.06372925894365389,0.9492214746035433,-0.2935317744588415,0.2751049356775278,Negative,,False,0.026061903272928788,0.006965077846907808,7
BTC,2021-01-13,2022-01-12,365,BTC_Lagged_Return,-0.14787188105994706,0.09006486101345247,-1.6418376645011452,0.1015042188593212,-0.3249962471458656,0.02925248502597147,Negative,,False,0.026061903272928788,0.006965077846907808,7
BTC,2021-01-13,2022-01-12,365,Lagged_Log_BTC_Volume,0.000373996798223567,0.005938858494225934,0.06297452592736233,0.9498220331118581,-0.011305547634833654,0.012053541231280787,Positive,,False,0.026061903272928788,0.006965077846907808,7
BTC,2021-01-13,2022-01-12,365,Lagged_SP500_Return_Aligned,0.7597304535673383,0.5050475840285512,1.5042749982235126,0.13339472241901623,-0.233511884872736,1.7529727920074125,Positive,,False,0.026061903272928788,0.006965077846907808,7
BTC,2021-01-13,2022-01-12,365,Lagged_VIX_Change_Aligned,0.0014676119488641042,0.0020969488534245302,0.6998797068737966,0.48445823329207843,-0.0026563131002395254,0.005591536997967734,Positive,,False,0.026061903272928788,0.006965077846907808,7
BTC,2021-01-13,2022-01-12,365,Lagged_Gold_Return_Aligned,-0.03446162996415694,0.3003172403577688,-0.11475075464566305,0.9087071944554641,-0.6250748860607496,0.5561516261324357,Negative,,False,0.026061903272928788,0.006965077846907808,7
BTC,2021-01-13,2022-01-12,365,Lagged_DXY_Return_Aligned,0.49829685764281634,0.6838074842968553,0.7287092772247212,0.46665726508385486,-0.8465002787542113,1.843093994039844,Positive,,False,0.026061903272928788,0.006965077846907808,7
BTC,2021-01-13,2022-01-12,365,Lagged_US10Y_Change_Aligned,0.015643703103314966,0.04881630311729869,0.32046062696975136,0.7488066623400158,-0.08035996188894093,0.11164736809557085,Positive,,False,0.026061903272928788,0.006965077846907808,7
BTC,2021-01-20,2022-01-19,365,const,-0.007529934298038082,0.1416242621980685,-0.05316839206199781,0.957627478339062,-0.2860526276320341,0.270992759035958,Negative,,False,0.029115918673718655,0.010078975902615195,7
BTC,2021-01-20,2022-01-19,365,BTC_Lagged_Return,-0.15582041209762706,0.09034704317786463,-1.7246874564656884,0.08544934316722734,-0.333499726433394,0.021858902238139882,Negative,*,False,0.029115918673718655,0.010078975902615195,7
BTC,2021-01-20,2022-01-19,365,Lagged_Log_BTC_Volume,0.00029073344830002953,0.005824436597209736,0.04991614956188359,0.9602171229934374,-0.011163785311622414,0.011745252208222475,Positive,,False,0.029115918673718655,0.010078975902615195,7
BTC,2021-01-20,2022-01-19,365,Lagged_SP500_Return_Aligned,0.8245085029646888,0.4969625997102286,1.6590956813358737,0.0979747206224661,-0.15283365302816454,1.8018506589575423,Positive,*,False,0.029115918673718655,0.010078975902615195,7
BTC,2021-01-20,2022-01-19,365,Lagged_VIX_Change_Aligned,0.0018136162724342068,0.002050358023254536,0.8845363843117757,0.37700206212399506,-0.002218681796219808,0.005845914341088222,Positive,,False,0.029115918673718655,0.010078975902615195,7
BTC,2021-01-20,2022-01-19,365,Lagged_Gold_Return_Aligned,-0.030271362769732545,0.30390994810254696,-0.09960635694465064,0.9207127553929418,-0.6279501500253724,0.5674074244859073,Negative,,False,0.029115918673718655,0.010078975902615195,7
BTC,2021-01-20,2022-01-19,365,Lagged_DXY_Return_Aligned,0.5117789366432575,0.6756346148166364,0.7574788582763059,0.44926270041120175,-0.8169451796047635,1.8405030528912785,Positive,,False,0.029115918673718655,0.010078975902615195,7
BTC,2021-01-20,2022-01-19,365,Lagged_US10Y_Change_Aligned,0.02097788580672015,0.0482973966063398,0.4343481694822133,0.6642980282739227,-0.07400528144893542,0.11596105306237572,Positive,,False,0.029115918673718655,0.010078975902615195,7
BTC,2021-01-27,2022-01-26,365,const,-0.06385064811118733,0.14391896508803773,-0.44365694314247456,0.6575593935390118,-0.34688617575334507,0.21918487953097038,Negative,,False,0.032109769229095475,0.01313152941005824,7
BTC,2021-01-27,2022-01-26,365,BTC_Lagged_Return,-0.14606733167159047,0.09356209883731363,-1.5611805793879556,0.11936714897389299,-0.33006947479100246,0.03793481144782154,Negative,,False,0.032109769229095475,0.01313152941005824,7
BTC,2021-01-27,2022-01-26,365,Lagged_Log_BTC_Volume,0.0025937994097973865,0.005919593091604281,0.4381719097341597,0.6615266787334537,-0.009047857081299423,0.014235455900894195,Positive,,False,0.032109769229095475,0.01313152941005824,7
BTC,2021-01-27,2022-01-26,365,Lagged_SP500_Return_Aligned,1.0645081925671858,0.468086599126176,2.274169340789524,0.02354875430829475,0.1439544803802134,1.9850619047541582,Positive,**,True,0.032109769229095475,0.01313152941005824,7
BTC,2021-01-27,2022-01-26,365,Lagged_VIX_Change_Aligned,0.002430023163464782,0.00201276780111218,1.2073042713233202,0.22811426663274534,-0.0015283488013450356,0.006388395128274599,Positive,,False,0.032109769229095475,0.01313152941005824,7
BTC,2021-01-27,2022-01-26,365,Lagged_Gold_Return_Aligned,0.04898455378590566,0.2859070112530706,0.17133036916869093,0.8640610714634498,-0.5132890960913281,0.6112582036631395,Positive,,False,0.032109769229095475,0.01313152941005824,7
