Asset,Window_Start,Window_End,N,R_Squared,Adjusted_R_Squared,HAC_Maxlags
BTC,2021-01-06,2022-01-05,365,0.01795977417381711,-0.0012959165286570151,7
BTC,2021-01-13,2022-01-12,365,0.026061903272928788,0.006965077846907808,7
BTC,2021-01-20,2022-01-19,365,0.029115918673718655,0.010078975902615195,7
BTC,2021-01-27,2022-01-26,365,0.032109769229095475,0.01313152941005824,7
BTC,2021-02-03,2022-02-02,365,0.029707651320000195,0.010682311149804224,7
BTC,2021-02-10,2022-02-09,365,0.026095868229102703,0.006999708782614578,7
BTC,2021-02-17,2022-02-16,365,0.0239627414773953,0.0048247560161678305,7
BTC,2021-02-24,2022-02-23,365,0.0261048570178819,0.007008873822154205,7
BTC,2021-03-03,2022-03-02,365,0.02082514453395079,0.0016256375640283371,7
BTC,2021-03-10,2022-03-09,365,0.01500926824767912,-0.004304275512170275,7
BTC,2021-03-17,2022-03-16,365,0.017119830655738855,-0.0021523295274819,7
BTC,2021-03-24,2022-03-23,365,0.01948085236307817,0.00025498672313861714,7
BTC,2021-03-31,2022-03-30,365,0.019617845322158822,0.00039466581867175776,7
BTC,2021-04-07,2022-04-06,365,0.018923320699654522,-0.0003134769336854415,7
BTC,2021-04-14,2022-04-13,365,0.017268892266710134,-0.002000345139824944,7
BTC,2021-04-21,2022-04-20,365,0.02001867648286404,0.0008033564139006133,7
BTC,2021-04-28,2022-04-27,365,0.02479058734004358,0.0056688341506326845,7
BTC,2021-05-05,2022-05-04,365,0.021610087384738796,0.0024259714511063457,7
BTC,2021-05-12,2022-05-11,365,0.022781774104665864,0.003620632420443748,7
BTC,2021-05-19,2022-05-18,365,0.021074284352248007,0.0018796624768019354,7
BTC,2021-05-26,2022-05-25,365,0.008898871727405666,-0.01053448372891963,7
BTC,2021-06-02,2022-06-01,365,0.009366765189505188,-0.010057415885210252,7
BTC,2021-06-09,2022-06-08,365,0.006189563121745789,-0.013296916032729644,7
BTC,2021-06-16,2022-06-15,365,0.011115713350258294,-0.008274174623265962,7
BTC,2021-06-23,2022-06-22,365,0.006110754435344035,-0.013377269987492335,7
BTC,2021-06-30,2022-06-29,365,0.007726380077485939,-0.011729965411190646,7
BTC,2021-07-07,2022-07-06,365,0.008967258630860897,-0.01046475590578888,7
BTC,2021-07-14,2022-07-13,365,0.008926298579890912,-0.0105065190950131,7
BTC,2021-07-21,2022-07-20,365,0.009597100279289283,-0.00982256442111673,7
BTC,2021-07-28,2022-07-27,365,0.007151314810044274,-0.012316306468190152,7
BTC,2021-08-04,2022-08-03,365,0.0073252381408150935,-0.012138972876031495,7
BTC,2021-08-11,2022-08-10,365,0.00866748064011702,-0.010770411896351195,7
BTC,2021-08-18,2022-08-17,365,0.00899340127741377,-0.01043810065832318,7
BTC,2021-08-25,2022-08-24,365,0.009258514448468924,-0.010167789189796217,7
BTC,2021-09-01,2022-08-31,365,0.008530201933787618,-0.010910382342020464,7
BTC,2021-09-08,2022-09-07,365,0.00765072891995755,-0.011807099924749043,7
BTC,2021-09-15,2022-09-14,365,0.008040092347226357,-0.01141010192047509,7
BTC,2021-09-22,2022-09-21,365,0.010222980136990634,-0.009184412409342757,7
BTC,2021-09-29,2022-09-28,365,0.01148013465339881,-0.00790260780437757,7
BTC,2021-10-06,2022-10-05,365,0.015069507992573006,-0.004242854595807755,7
BTC,2021-10-13,2022-10-12,365,0.01761482502106959,-0.0016476293902818462,7
BTC,2021-10-20,2022-10-19,365,0.018462183895088025,-0.0007836556363807201,7
BTC,2021-10-27,2022-10-26,365,0.01841493006309003,-0.0008318360141041925,7
BTC,2021-11-03,2022-11-02,365,0.019079419349144477,-0.00015431752636252405,7
BTC,2021-11-10,2022-11-09,365,0.02747237297507621,0.008403203817724858,7
BTC,2021-11-17,2022-11-16,365,0.021339353521489746,0.002149929080734747,7
BTC,2021-11-24,2022-11-23,365,0.019175594155360076,-5.625693963273726e-05,7
BTC,2021-12-01,2022-11-30,365,0.01598934371456795,-0.0033049828792639513,7
BTC,2021-12-08,2022-12-07,365,0.016871615876742685,-0.002405411262929036,7
BTC,2021-12-15,2022-12-14,365,0.01801532050310195,-0.0012392810556607348,7
BTC,2021-12-22,2022-12-21,365,0.016139808353927365,-0.003151567952858203,7
BTC,2021-12-29,2022-12-28,365,0.016590819553249037,-0.0026917133966872786,7
BTC,2022-01-05,2023-01-04,365,0.017141231757162423,-0.00213050879661858,7
BTC,2022-01-12,2023-01-11,365,0.017537560784315454,-0.001726408612070518,7
BTC,2022-01-19,2023-01-18,365,0.015120528341162509,-0.004190833848226383,7
BTC,2022-01-26,2023-01-25,365,0.01729007392977555,-0.0019787481500326276,7
BTC,2022-02-02,2023-02-01,365,0.018155241359944285,-0.001096616652605853,7
BTC,2022-02-09,2023-02-08,365,0.01724796547258678,-0.0020216822632448395,7
BTC,2022-02-16,2023-02-15,365,0.015641767244191862,-0.0036593745745494566,7
BTC,2022-02-23,2023-02-22,365,0.019440171108274895,0.0002135077966725074,7
BTC,2022-03-02,2023-03-01,365,0.02143225190179754,0.002244648997911325,7
BTC,2022-03-09,2023-03-08,365,0.023471471845322056,0.004323853646210796,7
BTC,2022-03-16,2023-03-15,365,0.02049739788533722,0.0012914645105399636,7
BTC,2022-03-23,2023-03-22,365,0.019751012419076508,0.0005304440351369122,7
BTC,2022-03-30,2023-03-29,365,0.021791067614802095,0.002610500313131592,7
BTC,2022-04-06,2023-04-05,365,0.020526680974812472,0.001321321778240181,7
BTC,2022-04-13,2023-04-12,365,0.020623582512619865,0.0014201233462006746,7
BTC,2022-04-20,2023-04-19,365,0.01978315324929314,0.0005632150777107325,7
BTC,2022-04-27,2023-04-26,365,0.020006282995316482,0.0007907199167933587,7
BTC,2022-05-04,2023-05-03,365,0.015783927905248074,-0.0035144264495510225,7
BTC,2022-05-11,2023-05-10,365,0.012089454742069794,-0.007281340262987657,7
BTC,2022-05-18,2023-05-17,365,0.01097133302659381,-0.008421385933669034,7
BTC,2022-05-25,2023-05-24,365,0.00915553441349004,-0.010272788441147318,7
BTC,2022-06-01,2023-05-31,365,0.01012850055408876,-0.009280744533085805,7
BTC,2022-06-08,2023-06-07,365,0.008465364549431365,-0.010976491047638648,7
BTC,2022-06-15,2023-06-14,365,0.013162389062424618,-0.0061873680147825905,7
BTC,2022-06-22,2023-06-21,365,0.01860093577331101,-0.0006421831330944983,7
BTC,2022-06-29,2023-06-28,365,0.016436543954346794,-0.0028490140073325065,7
BTC,2022-07-06,2023-07-05,365,0.017746145212436892,-0.001513734293201452,7
BTC,2022-07-13,2023-07-12,365,0.019936018010870526,0.0007190771875543733,7
