Asset,Period,Start_Date,End_Date,N,Weekend_Observations,R_Squared,Adjusted_R_Squared,HAC_Maxlags
BTC,2021,2021-01-06,2021-12-31,360,102,0.018195923947646464,-0.0013285889283944918,7
BTC,2022,2022-01-01,2022-12-31,365,105,0.016670405320062143,-0.00261056712464236,7
BTC,2023,2023-01-01,2023-12-31,365,105,0.10655664418163635,0.08903814700872736,7
BTC,2024,2024-01-01,2024-12-31,366,104,0.00805465430992347,-0.011340925075078001,7
BTC,2025,2025-01-01,2025-12-31,365,104,0.027004896494607356,0.007926561131756604,7
ETH,2021,2021-01-06,2021-12-31,360,102,0.02819314271921236,0.008867438171014985,7
ETH,2022,2022-01-01,2022-12-31,365,105,0.009927711002585049,-0.009485471134619061,7
ETH,2023,2023-01-01,2023-12-31,365,105,0.05408402997324924,0.0355366580119405,7
ETH,2024,2024-01-01,2024-12-31,366,104,0.01675601209989719,-0.0024694290042948097,7
ETH,2025,2025-01-01,2025-12-31,365,104,0.010946683694439963,-0.008446518586061158,7
