Asset,Variable,Full_Sample_Coefficient,Number_of_Subsamples,Minimum_Subsample_Coefficient,Maximum_Subsample_Coefficient,Mean_Subsample_Coefficient,Std_Subsample_Coefficient,Positive_Subsamples,Negative_Subsamples,Sign_Changes_Across_Subsamples,Significant_at_5pct_Subsamples,Significant_at_10pct_Subsamples,Share_Same_Sign_As_Full,Maximum_Absolute_Difference_From_Full
BTC,BTC_Lagged_Return,-0.11924172554615935,5,-0.291878580725294,-0.024829100295380276,-0.12064967225109025,0.10316180339120748,0,5,False,0,2,1.0,0.17263685517913463
BTC,Lagged_Log_BTC_Volume,-0.0005123507691376557,5,-0.009788399438344867,0.008439793039054753,0.00013512248637521807,0.00671373222735547,3,2,True,0,2,0.4,0.00927604866920721
BTC,Lagged_SP500_Return_Aligned,0.07148308249650734,5,-0.2552318702884012,0.7016154167305149,0.09826272980171279,0.38161499611808486,3,2,True,0,0,0.6,0.6301323342340075
BTC,Lagged_VIX_Change_Aligned,8.191353646343959e-05,5,-0.0006961705175135133,0.0015628765723296955,0.00022008317871145317,0.0009348043031405033,3,2,True,0,0,0.6,0.001480963035866256
BTC,Lagged_Gold_Return_Aligned,0.07905408872834827,5,-0.2541436350402416,0.38305378072376756,0.08236433985415634,0.23130919616184986,4,1,True,0,1,0.8,0.3331977237685899
BTC,Lagged_DXY_Return_Aligned,-0.021798844640199728,5,-0.5663440706766765,0.6288314170730362,-0.010702552895301703,0.44009401795188674,3,2,True,0,1,0.4,0.650630261713236
BTC,Lagged_US10Y_Change_Aligned,0.0012726808911085149,5,-0.011917511774828807,0.03287498261388316,0.013976871888962863,0.022285314388008664,3,2,True,0,0,0.6,0.031602301722774645
ETH,ETH_Lagged_Return,-0.06031860963293443,5,-0.1387569681072996,0.021442434139763277,-0.046975539054449615,0.06051875340801505,1,4,True,0,1,0.8,0.0817610437726977
ETH,Lagged_Log_ETH_Volume,0.0003127099430185981,5,-0.0060106263876903866,0.00277551892966969,0.0006332987561737418,0.0037438069299799122,4,1,True,0,0,0.8,0.006323336330708985
ETH,Lagged_SP500_Return_Aligned,0.050831165400564225,5,-0.3633488954505361,0.6002499469758739,0.026786834959622297,0.39408535062424155,3,2,True,0,0,0.6,0.5494187815753097
ETH,Lagged_VIX_Change_Aligned,-0.00045572812920863736,5,-0.0009762248566290495,0.0002504826915230041,-0.0005235230613662229,0.00046341271053870287,1,4,True,0,0,0.8,0.0007062108207316415
ETH,Lagged_Gold_Return_Aligned,0.08312967895642882,5,-0.34325456346127203,0.1995969466717219,0.044927622603557475,0.22047557611202748,4,1,True,0,0,0.8,0.42638424241770084
ETH,Lagged_DXY_Return_Aligned,0.27656472023541123,5,-0.6697134785293527,1.5902962583471147,0.3269465302325257,0.8497127341504439,3,2,True,0,1,0.6,1.3137315381117034
ETH,Lagged_US10Y_Change_Aligned,-0.012510779654281382,5,-0.046172969750025064,0.05489382878049596,-0.0020792263827564285,0.04116597239456603,2,3,True,0,0,0.6,0.06740460843477734
