Date,Stored_Lagged_Log_Volume,Expected_Source_Date,Expected_Previous_Day_Log_Volume,Absolute_Difference
2021-01-01,,2020-12-31,,
2021-01-02,24.43023815752363,2021-01-01,24.430238157548178,2.454925152051146e-11
2021-01-03,24.94079247470659,2021-01-02,24.940792474721324,1.4733103625985677e-11
2021-01-04,25.088467156553605,2021-01-03,25.088467156566317,1.2711609542748192e-11
2021-01-05,25.11973117188423,2021-01-04,25.11973117189655,1.2320811038080137e-11
2021-01-06,24.936094297045063,2021-01-05,24.936094297059867,1.4804157899561687e-11
2021-01-07,25.044605640671257,2021-01-06,25.044605640684537,1.3280043731356272e-11
2021-01-08,25.163114829949617,2021-01-07,25.163114829961415,1.1798562127296464e-11
2021-01-09,25.201823717892157,2021-01-08,25.20182371790351,1.13509202037676e-11
2021-01-10,24.850144751248727,2021-01-09,24.85014475126486,1.6132872815433075e-11
2021-01-11,25.105051788783506,2021-01-10,25.105051788796004,1.2498446722020162e-11
2021-01-12,25.538053040983616,2021-01-11,25.538053040991727,8.110845328701544e-12
2021-01-13,25.037726410892976,2021-01-12,25.037726410906348,1.3372414287005085e-11
2021-01-14,24.962638393246884,2021-01-13,24.9626383932613,1.4416912108572433e-11
2021-01-15,24.876130691306088,2021-01-14,24.876130691321805,1.5717205315013416e-11
2021-01-16,24.939249072012196,2021-01-15,24.939249072026954,1.475797262173728e-11
2021-01-17,24.778630246911472,2021-01-16,24.7786302469288,1.7326584611510043e-11
2021-01-18,24.68140599601327,2021-01-17,24.681405996032368,1.9095836023552692e-11
2021-01-19,24.625474891287045,2021-01-18,24.625474891307242,2.0197177263980848e-11
2021-01-20,24.77059208534973,2021-01-19,24.7705920853672,1.7468693158662063e-11
2021-01-21,24.925486345890263,2021-01-20,24.925486345905227,1.496403001510771e-11
2021-01-22,25.04929163633945,2021-01-21,25.04929163635267,1.3219647598816664e-11
2021-01-23,25.069759493050633,2021-01-22,25.069759493063586,1.2953194072906626e-11
2021-01-24,24.601830047322867,2021-01-23,24.601830047343547,2.0680346324297716e-11
2021-01-25,24.607790825594662,2021-01-24,24.607790825615222,2.05595540592185e-11
2021-01-26,24.815893172879065,2021-01-25,24.81589317289576,1.6694201576683554e-11
2021-01-27,24.82185838817352,2021-01-26,24.82185838819012,1.659827830735594e-11
2021-01-28,24.859659832317668,2021-01-27,24.859659832333648,1.5980106127244653e-11
2021-01-29,25.060780836369627,2021-01-28,25.060780836382694,1.3066880910628242e-11
2021-01-30,25.493056608748173,2021-01-29,25.493056608756657,8.483880264975596e-12
2021-01-31,24.89983271128527,2021-01-30,24.899832711300622,1.5351275806096965e-11
2021-02-01,24.68891572258051,2021-01-31,24.68891572259947,1.8960832903758273e-11
2021-02-02,24.840682197485386,2021-02-01,24.84068219750167,1.6285639503621496e-11
2021-02-03,24.86780569366391,2021-02-02,24.867805693679763,1.5852208434807835e-11
2021-02-04,24.836870692483757,2021-02-03,24.836870692500103,1.6346035636161105e-11
2021-02-05,24.95502283567307,2021-02-04,24.955022835687597,1.4527046232615248e-11
2021-02-06,24.79396753643208,2021-02-05,24.793967536449145,1.7063683799278806e-11
2021-02-07,24.99052722609659,2021-02-06,24.99052722611061,1.4022560890225577e-11
2021-02-08,24.905325767982458,2021-02-07,24.905325767997727,1.5269563391484553e-11
2021-02-09,25.34300165408327,2021-02-08,25.34300165409313,9.85878045867139e-12
2021-02-10,25.242985393373804,2021-02-09,25.242985393384693,1.0889067425523535e-11
2021-02-11,25.1926287842043,2021-02-10,25.192628784215756,1.1457501614131615e-11
2021-02-12,25.12250488212595,2021-02-11,25.122504882138234,1.2285283901292132e-11
2021-02-13,25.06127581182624,2021-02-12,25.061275811839305,1.3066880910628242e-11
2021-02-14,24.97533263844879,2021-02-13,24.97533263846303,1.4239276424632408e-11
2021-02-15,24.989442062631085,2021-02-14,24.98944206264512,1.4036771744940779e-11
2021-02-16,25.06797868029333,2021-02-15,25.067978680306304,1.297451035497943e-11
2021-02-17,25.06771498514824,2021-02-16,25.067714985161217,1.297806306865823e-11
2021-02-18,25.115497044953084,2021-02-17,25.115497044965455,1.2370549029583344e-11
2021-02-19,24.675561378687096,2021-02-18,24.675561378706306,1.920952286127431e-11
2021-02-20,24.87423482565333,2021-02-19,24.874234825669078,1.574917973812262e-11
2021-02-21,24.944910375496477,2021-02-20,24.94491037551115,1.467270749344607e-11
2021-02-22,24.672538097924036,2021-02-21,24.672538097943303,1.9266366280135117e-11
2021-02-23,25.24562403794631,2021-02-22,25.245624037957175,1.0864198429771932e-11
2021-02-24,25.38767137733276,2021-02-23,25.387671377342183,9.421796676178928e-12
2021-02-25,24.877380089172124,2021-02-24,24.877380089187824,1.5699441746619414e-11
2021-02-26,24.721587007487383,2021-02-25,24.72158700750573,1.8346213437325787e-11
2021-02-27,26.583960721423335,2021-02-26,26.583960721426184,2.8492763703980017e-12
2021-02-28,24.54996940884827,2021-02-27,24.54996940887005,2.178168756472587e-11
2021-03-01,24.701898107746885,2021-02-28,24.701898107765594,1.8708590232563438e-11
2021-03-02,24.71023489389307,2021-03-01,24.710234893911625,1.8555823544375016e-11
2021-03-03,24.584645814833475,2021-03-02,24.584645814854515,2.1039170405856567e-11
2021-03-04,24.69771535933184,2021-03-03,24.69771535935063,1.879030264717585e-11
2021-03-05,24.681099652291607,2021-03-04,24.68109965231071,1.9102941450910293e-11
2021-03-06,24.60742274169485,2021-03-05,24.607422741715414,2.05631067728973e-11
2021-03-07,24.260262673180794,2021-03-06,24.260262673209898,2.9103830456733704e-11
2021-03-08,24.48765758368362,2021-03-07,24.487657583706802,2.318145675417327e-11
2021-03-09,24.606836445629455,2021-03-08,24.606836445650035,2.0580870341291302e-11
2021-03-10,24.65336895532767,2021-03-09,24.653368955347315,1.964295393008797e-11
2021-03-11,24.77148927817727,2021-03-10,24.77148927819472,1.745092959026806e-11
2021-03-12,24.762315135556328,2021-03-11,24.762315135573942,1.7614354419492884e-11
2021-03-13,24.74306544158646,2021-03-12,24.74306544160442,1.7958967646336532e-11
2021-03-14,24.828712373787074,2021-03-13,24.828712373803558,1.6484591469634324e-11
2021-03-15,24.505208073813257,2021-03-14,24.505208073836037,2.2780000108468812e-11
2021-03-16,24.919254566099035,2021-03-15,24.919254566114088,1.5052847857077722e-11
2021-03-17,24.813431657024317,2021-03-16,24.813431657041054,1.673683414082916e-11
2021-03-18,24.821906378072907,2021-03-17,24.821906378089505,1.659827830735594e-11
2021-03-19,24.74407223131215,2021-03-18,24.744072231330087,1.793765136426373e-11
2021-03-20,24.616388832830783,2021-03-19,24.616388832851165,2.0381918375278474e-11
2021-03-21,24.642497422457815,2021-03-20,24.64249742247767,1.9856116750816e-11
2021-03-22,24.67342078108569,2021-03-21,24.67342078110494,1.9252155425419915e-11
2021-03-23,24.757886137071175,2021-03-22,24.757886137088867,1.7692514120426495e-11
2021-03-24,24.75635579409804,2021-03-23,24.756355794115763,1.77209358298569e-11
2021-03-25,24.979831621338356,2021-03-24,24.979831621352528,1.4171774864735198e-11
2021-03-26,24.942770789780496,2021-03-25,24.9427707897952,1.4704681916555273e-11
2021-03-27,24.76019662292636,2021-03-26,24.76019662294401,1.764988155628089e-11
2021-03-28,24.57906852978471,2021-03-27,24.579068529805866,2.1156409957256983e-11
2021-03-29,24.58791587278832,2021-03-28,24.587915872809294,2.0975221559638157e-11
2021-03-30,24.777232525230858,2021-03-29,24.777232525248213,1.7355006320940447e-11
2021-03-31,24.719889450381057,2021-03-30,24.719889450399435,1.837818786043499e-11
2021-04-01,24.90563388668339,2021-03-31,24.905633886698652,1.5262457964126952e-11
2021-04-02,24.845049866461093,2021-04-01,24.84504986647731,1.6218137943724287e-11
2021-04-03,24.796180078437818,2021-04-02,24.79618007845484,1.70210512351332e-11
2021-04-04,24.811614869915477,2021-04-03,24.811614869932246,1.6768808563938364e-11
2021-04-05,24.650170813861035,2021-04-04,24.650170813880738,1.9703350062627578e-11
2021-04-06,24.829312859410123,2021-04-05,24.829312859426597,1.6473933328597923e-11
2021-04-07,24.913799404631813,2021-04-06,24.91379940464695,1.5138112985368934e-11
2021-04-08,25.04932119440768,2021-04-07,25.049321194420898,1.3219647598816664e-11
2021-04-09,24.694573378743332,2021-04-08,24.69457337876218,1.8847146066036657e-11
2021-04-10,24.56605040958275,2021-04-09,24.566050409604188,2.1437074337882223e-11
2021-04-11,24.787811978900027,2021-04-10,24.787811978917198,1.717026520964282e-11
2021-04-12,24.557981196906088,2021-04-11,24.557981196927695,2.1607604594464647e-11
2021-04-13,24.671209665316407,2021-04-12,24.671209665335702,1.929478798956552e-11
2021-04-14,24.97152468479972,2021-04-13,24.97152468481401,1.4289014416135615e-11
2021-04-15,25.072921382073368,2021-04-14,25.07292138208628,1.2914114222439821e-11
2021-04-16,24.833391578378464,2021-04-15,24.83339157839487,1.6406431768700713e-11
2021-04-17,25.157564750328778,2021-04-16,25.15756475034064,1.1862510973514873e-11
2021-04-18,24.91502078408822,2021-04-17,24.915020784103337,1.511679670329613e-11
2021-04-19,25.302798910213777,2021-04-18,25.302798910224038,1.0260237104375847e-11
