Date,BTC_Price
2021-01-01,29260.375
2021-01-02,31698.37
2021-01-03,29260.375
2021-01-04,31038.785
2021-01-05,33814.255
2021-01-06,35967.075
2021-01-07,39774.875
2021-01-08,40082.755
2021-01-09,40874.8
2021-01-10,38623.09
2021-01-11,33951.625
2021-01-12,34690.03
2021-01-13,37286.025
2021-01-14,38736.565
2021-01-15,36260.205
2021-01-16,35928.49
2021-01-17,36260.205
2021-01-18,36233.07
2021-01-19,36476.375
2021-01-20,34912.585
2021-01-21,31195.685
2021-01-22,33313.37
2021-01-23,32374.25
2021-01-24,31905.46
2021-01-25,32700.89
2021-01-26,32013.19
2021-01-27,31017.225
2021-01-28,33269.03
2021-01-29,34643.375
2021-01-30,34689.575
2021-01-31,32331.515
2021-02-01,33669.59
2021-02-02,35689.575
2021-02-03,37303.725
2021-02-04,37689.525
2021-02-05,37868.53
2021-02-06,40074.995
2021-02-07,37913.63
2021-02-08,44688.47
2021-02-09,47355.825
2021-02-10,45029.62
2021-02-11,46937.995
2021-02-12,47953.74
2021-02-13,47188.375
2021-02-14,48655.61
2021-02-15,48220.535
2021-02-16,48596.065
2021-02-17,52402.95
2021-02-18,52044.815
2021-02-19,55629.355
2021-02-20,56525.59
2021-02-21,57539.3
2021-02-22,54957.93
2021-02-23,47945.875
2021-02-24,48747.45
2021-02-25,48053.72
2021-02-26,45652.775
2021-02-27,46865.53
2021-02-28,43186.9
2021-03-01,48860.15
2021-03-02,47450.765
2021-03-03,50941.86
2021-03-04,47897.57
2021-03-05,49050.535
2021-03-06,48597.35
2021-03-07,51066.515
2021-03-08,51891.145
2021-03-09,54317.945
2021-03-10,56910.415
2021-03-11,57624.65
2021-03-12,56969.125
2021-03-13,61615.955
2021-03-14,59704.77
2021-03-15,56415.125
2021-03-16,56436.27
2021-03-17,57736.305
2021-03-18,57493.455
2021-03-19,58396.825
2021-03-20,58536.15
2021-03-21,57286.7
2021-03-22,54580.005
2021-03-23,54449.375
2021-03-24,54051.375
2021-03-25,52002.775
2021-03-26,54003.615
2021-03-27,55888.615
2021-03-28,55971.015
2021-03-29,57251.66
2021-03-30,58672.035
2021-03-31,58950.025
2021-04-01,58854.185
2021-04-02,58669.625
2021-04-03,58074.66
2021-04-04,58113.075
2021-04-05,58789.52
2021-04-06,58252.265
2021-04-07,56238.555
2021-04-08,57667.78
2021-04-09,58325.29
2021-04-10,58583.455
2021-04-11,59829.26
2021-04-12,59942.5
2021-04-13,63199.405
2021-04-14,62391.32
2021-04-15,63408.14
2021-04-16,62015.68
2021-04-17,60872.23
2021-04-18,55566.96
2021-04-19,56209.125
2021-04-20,56795.95
2021-04-21,55002.375
2021-04-22,51612.05
2021-04-23,50557.81
2021-04-24,50975.0
2021-04-25,49975.28
2021-04-26,53272.625
2021-04-27,55199.49
2021-04-28,54436.83
2021-04-29,52994.22
2021-04-30,56812.945
2021-05-01,57719.895
2021-05-02,56827.3
2021-05-03,56822.475
2021-05-04,54792.875
2021-05-05,56874.31
2021-05-06,55961.125
2021-05-07,57699.255
2021-05-08,59016.9
2021-05-09,57962.135
2021-05-10,55312.135
2021-05-11,56913.965
2021-05-12,54482.51
2021-05-13,49317.285
2021-05-14,49193.005
2021-05-15,48231.87
2021-05-16,44065.13
2021-05-17,44820.44
2021-05-18,43271.845
2021-05-19,38368.455
2021-05-20,40073.635
2021-05-21,35227.545
2021-05-22,38079.77
2021-05-23,32575.63
2021-05-24,39022.77
2021-05-25,37643.995
2021-05-26,38772.27
2021-05-27,38465.82
2021-05-28,35218.98
2021-05-29,34344.81
2021-05-30,36063.425
2021-05-31,36693.815
2021-06-01,36326.84
2021-06-02,37743.02
2021-06-03,38707.715
2021-06-04,37048.275
2021-06-05,35849.385
2021-06-06,35978.76
2021-06-07,34452.055
2021-06-08,33628.04
2021-06-09,36420.005
2021-06-10,36496.605
2021-06-11,37143.555
2021-06-12,36012.6
2021-06-13,39271.955
2021-06-14,39849.365
2021-06-15,39957.055
2021-06-16,38534.75
2021-06-17,37755.75
2021-06-18,35507.14
2021-06-19,36113.55
2021-06-20,35822.215
2021-06-21,32574.23
2021-06-22,32896.285
2021-06-23,33062.55
2021-06-24,34863.255
2021-06-25,32210.245
2021-06-26,31303.145
2021-06-27,32625.975
2021-06-28,34667.565
2021-06-29,36159.165
2021-06-30,34586.835
2021-07-01,33418.375
2021-07-02,33150.97
2021-07-03,34726.11
2021-07-04,35545.615
2021-07-05,33858.695
2021-07-06,33945.375
2021-07-07,34542.245
2021-07-08,32817.53
2021-07-09,33520.635
2021-07-10,33334.285
2021-07-11,33855.59
2021-07-12,32848.115
2021-07-13,32509.66
2021-07-14,32802.165
2021-07-15,31756.345
2021-07-16,31833.375
2021-07-17,31729.87
2021-07-18,31651.525
2021-07-19,30772.875
2021-07-20,29862.3
2021-07-21,31801.43
2021-07-22,32239.365
2021-07-23,32496.6
2021-07-24,33941.965
2021-07-25,34483.435
2021-07-26,37749.525
2021-07-27,38046.72
2021-07-28,39957.42
2021-07-29,39727.25
2021-07-30,40687.765
2021-07-31,41546.405
2021-08-01,41266.355
2021-08-02,38865.125
2021-08-03,38079.25
2021-08-04,39751.515
2021-08-05,40901.64
2021-08-06,42737.57
2021-08-07,43990.835
2021-08-08,43871.485
2021-08-09,45472.875
2021-08-10,45647.425
2021-08-11,46343.88
2021-08-12,44485.625
2021-08-13,47615.29
2021-08-14,46664.26
2021-08-15,46719.92
2021-08-16,46080.92
2021-08-17,44990.005
2021-08-18,44542.845
2021-08-19,46594.39
2021-08-20,48665.54
2021-08-21,49020.06
2021-08-22,48410.4
2021-08-23,49525.135
2021-08-24,48342.86
2021-08-25,48694.66
2021-08-26,47036.72
2021-08-27,48928.325
2021-08-28,48754.73
2021-08-29,48927.94
2021-08-30,48659.285
2021-08-31,47011.6
2021-09-01,48277.365
2021-09-02,49549.195
2021-09-03,50134.995
2021-09-04,50192.77
2021-09-05,50391.555
2021-09-06,51934.645
2021-09-07,46811.385
2021-09-08,46059.82
2021-09-09,46250.995
2021-09-10,45061.98
2021-09-11,45318.19
2021-09-12,45904.66
2021-09-13,45180.145
2021-09-14,46828.18
2021-09-15,47936.665
2021-09-16,47148.35
2021-09-17,46978.225
2021-09-18,47981.08
2021-09-19,47659.435
2021-09-20,43546.375
2021-09-21,40918.89
2021-09-22,43457.125
2021-09-23,44712.87
2021-09-24,42997.125
2021-09-25,42669.665
2021-09-26,43161.59
2021-09-27,42698.5
2021-09-28,41782.225
2021-09-29,41122.465
2021-09-30,43438.625
2021-10-01,48134.355
2021-10-02,48021.795
2021-10-03,48926.2
2021-10-04,49000.875
2021-10-05,51478.765
2021-10-06,54936.705
2021-10-07,54197.875
2021-10-08,54004.495
2021-10-09,54589.995
2021-10-10,55353.16
2021-10-11,57324.215
2021-10-12,55355.47
2021-10-13,56979.905
2021-10-14,57449.985
2021-10-15,62527.47
2021-10-16,61004.125
2021-10-17,61019.055
2021-10-18,61379.59
2021-10-19,64132.005
2021-10-20,66005.925
2021-10-21,62677.205
2021-10-22,60724.24
2021-10-23,61127.645
2021-10-24,60315.225
2021-10-25,62551.0
2021-10-26,62097.515
2021-10-27,58918.545
2021-10-28,61408.155
2021-10-29,62386.37
2021-10-30,61676.715
2021-10-31,60666.05
2021-11-01,60731.61
2021-11-02,63134.535
2021-11-03,62775.955
2021-11-04,61363.885
2021-11-05,60975.625
2021-11-06,61200.685
2021-11-07,62497.7
2021-11-08,66134.42
2021-11-09,67725.585
2021-11-10,64282.03
2021-11-11,65072.285
2021-11-12,64128.875
2021-11-13,64378.31
2021-11-14,64237.435
2021-11-15,63917.375
2021-11-16,60481.65
2021-11-17,60119.065
2021-11-18,57595.485
2021-11-19,57866.875
2021-11-20,59644.4
2021-11-21,59518.715
2021-11-22,56270.535
2021-11-23,57713.625
2021-11-24,57333.975
2021-11-25,58851.4
2021-11-26,54020.74
2021-11-27,54625.57
2021-11-28,53931.225
2021-11-29,58318.34
2021-11-30,57136.84
2021-12-01,57020.355
2021-12-02,56902.845
2021-12-03,53611.68
2021-12-04,48761.18
2021-12-05,49336.51
2021-12-06,50119.8
2021-12-07,50526.98
2021-12-08,50630.7
2021-12-09,47992.06
2021-12-10,47986.875
2021-12-11,48792.115
2021-12-12,50280.65
2021-12-13,46818.1
2021-12-14,48309.225
2021-12-15,49200.575
2021-12-16,48126.795
2021-12-17,46873.73
2021-12-18,46970.2
2021-12-19,47154.16
2021-12-20,46983.735
2021-12-21,49112.295
2021-12-22,49068.55
2021-12-23,50847.375
2021-12-24,50906.32
2021-12-25,50981.61
2021-12-26,50809.9
2021-12-27,50976.875
2021-12-28,47554.475
2021-12-29,47228.375
2021-12-30,47299.095
2021-12-31,46323.99
2022-01-01,46323.99
2022-01-02,46323.99
2022-01-03,45985.32
2022-01-04,46206.575
2022-01-05,43613.75
2022-01-06,43126.875
2022-01-07,41887.745
2022-01-08,41783.535
2022-01-09,42096.01
2022-01-10,41730.865
2022-01-11,42684.875
2022-01-12,43796.355
2022-01-13,42829.875
2022-01-14,43320.705
2022-01-15,43327.785
2022-01-16,43097.295
2022-01-17,41743.34
2022-01-18,42392.685
2022-01-19,41728.565
2022-01-20,41320.745
2022-01-21,36691.49
2022-01-22,35391.64
2022-01-23,35346.7
2022-01-24,36823.525
2022-01-25,36585.535
2022-01-26,36348.72
2022-01-27,36196.375
2022-01-28,37810.46
2022-01-29,38382.51
2022-01-30,37750.765
2022-01-31,38441.025
2022-02-01,38817.78
2022-02-02,36919.295
2022-02-03,36965.375
2022-02-04,40645.875
2022-02-05,41671.715
2022-02-06,41681.4
2022-02-07,44104.875
2022-02-08,44230.58
2022-02-09,44492.775
2022-02-10,43772.28
2022-02-11,42568.295
2022-02-12,41894.285
2022-02-13,42284.71
2022-02-14,42251.66
2022-02-15,43986.96
2022-02-16,44085.875
2022-02-17,40694.815
2022-02-18,39989.97
2022-02-19,39939.68
2022-02-20,38288.71
2022-02-21,37074.51
2022-02-22,37897.17
2022-02-23,37538.54
2022-02-24,38412.34
2022-02-25,38999.67
2022-02-26,39470.77
2022-02-27,38984.455
2022-02-28,41649.935
2022-03-01,43891.375
2022-03-02,44090.85
2022-03-03,42093.18
2022-03-04,39395.875
2022-03-05,39371.565
2022-03-06,39004.105
2022-03-07,37835.47
2022-03-08,38502.055
2022-03-09,41890.36
2022-03-10,39331.875
2022-03-11,38857.15
2022-03-12,39101.15
2022-03-13,38952.415
2022-03-14,38721.95
2022-03-15,39448.875
2022-03-16,41263.685
2022-03-17,40723.545
2022-03-18,41760.625
2022-03-19,42217.635
2022-03-20,41054.795
2022-03-21,41153.375
2022-03-22,42608.135
2022-03-23,42383.265
2022-03-24,43906.125
2022-03-25,44575.55
2022-03-26,44602.575
2022-03-27,44945.58
2022-03-28,47971.375
2022-03-29,47465.625
2022-03-30,47295.15
2022-03-31,45769.125
2022-04-01,46167.23
2022-04-02,46197.94
2022-04-03,46595.36
2022-04-04,46317.255
2022-04-05,45892.21
2022-04-06,43884.325
2022-04-07,43573.825
2022-04-08,42809.87
2022-04-09,42437.245
2022-04-10,43122.035
2022-04-11,39838.06
2022-04-12,39530.375
2022-04-13,41247.505
2022-04-14,39913.875
2022-04-15,40402.185
2022-04-16,40339.505
2022-04-17,40283.74
2022-04-18,40672.675
2022-04-19,41298.54
2022-04-20,41429.16
2022-04-21,40654.735
2022-04-22,39589.095
2022-04-23,39808.985
2022-04-24,39663.17
2022-04-25,40182.875
2022-04-26,38120.875
2022-04-27,39106.895
2022-04-28,39881.285
2022-04-29,38560.47
2022-04-30,38329.14
2022-05-01,37939.32
