Date,DXY
2021-01-01,89.937
2021-01-04,89.869
2021-01-05,89.436
2021-01-06,89.53
2021-01-07,89.826
2021-01-08,90.098
2021-01-11,90.465
2021-01-12,90.093
2021-01-13,90.355
2021-01-14,90.239
2021-01-15,90.772
2021-01-18,90.765
2021-01-19,90.498
2021-01-20,90.475
2021-01-21,90.131
2021-01-22,90.238
2021-01-25,90.391
2021-01-26,90.17
2021-01-27,90.647
2021-01-28,90.455
2021-01-29,90.584
2021-02-01,90.98
2021-02-02,91.197
2021-02-03,91.171
2021-02-04,91.529
2021-02-05,91.042
2021-02-08,90.934
2021-02-09,90.439
2021-02-10,90.371
2021-02-11,90.417
2021-02-12,90.48
2021-02-15,90.48
2021-02-16,90.509
2021-02-17,90.951
2021-02-18,90.592
2021-02-19,90.364
2021-02-22,90.01
2021-02-23,90.169
2021-02-24,90.176
2021-02-25,90.134
2021-02-26,90.879
2021-03-01,91.039
2021-03-02,90.785
2021-03-03,90.947
2021-03-04,91.631
2021-03-05,91.977
2021-03-08,92.313
2021-03-09,91.958
2021-03-10,91.823
2021-03-11,91.42
2021-03-12,91.679
2021-03-15,91.833
2021-03-16,91.865
2021-03-17,91.442
2021-03-18,91.862
2021-03-19,91.919
2021-03-22,91.742
2021-03-23,92.336
2021-03-24,92.528
2021-03-25,92.528
2021-03-26,92.766
2021-03-29,92.944
2021-03-30,93.297
2021-03-31,93.232
2021-04-01,92.929
2021-04-02,93.022
2021-04-05,92.595
2021-04-06,92.335
2021-04-07,92.455
2021-04-08,92.059
2021-04-09,92.163
2021-04-12,92.138
2021-04-13,91.852
2021-04-14,91.69
2021-04-15,91.69
2021-04-16,91.556
2021-04-19,91.069
2021-04-20,91.241
2021-04-21,91.155
2021-04-22,91.333
2021-04-23,90.859
2021-04-26,90.807
2021-04-27,90.909
2021-04-28,90.609
2021-04-29,90.614
2021-04-30,91.28
2021-05-03,90.945
2021-05-04,91.288
2021-05-05,91.308
2021-05-06,90.951
2021-05-07,90.233
2021-05-10,90.212
2021-05-11,90.141
2021-05-12,90.713
2021-05-13,90.752
2021-05-14,90.321
2021-05-17,90.164
2021-05-18,89.75
2021-05-19,90.191
2021-05-20,89.808
2021-05-21,90.017
2021-05-24,89.844
2021-05-25,89.639
2021-05-26,90.042
2021-05-27,89.971
2021-05-28,90.031
2021-05-31,90.031
2021-06-01,89.831
2021-06-02,89.909
2021-06-03,90.512
2021-06-04,90.136
2021-06-07,89.95
2021-06-08,90.076
2021-06-09,90.12
2021-06-10,90.075
2021-06-11,90.555
2021-06-14,90.522
2021-06-15,90.536
2021-06-16,91.129
2021-06-17,91.889
2021-06-18,92.225
2021-06-21,91.899
2021-06-22,91.756
2021-06-23,91.802
2021-06-24,91.814
2021-06-25,91.851
2021-06-28,91.887
2021-06-29,92.049
2021-06-30,92.436
2021-07-01,92.597
2021-07-02,92.226
2021-07-05,92.212
2021-07-06,92.546
2021-07-07,92.644
2021-07-08,92.417
2021-07-09,92.13
2021-07-12,92.261
2021-07-13,92.752
2021-07-14,92.41
2021-07-15,92.624
2021-07-16,92.687
2021-07-19,92.891
2021-07-20,92.973
2021-07-21,92.754
2021-07-22,92.822
2021-07-23,92.912
2021-07-26,92.649
2021-07-27,92.432
2021-07-28,92.322
2021-07-29,91.864
2021-07-30,92.174
