Date,ETH_Price
2021-01-01,729.91
2021-01-02,769.22
2021-01-03,729.91
2021-01-04,1007.23
2021-01-05,1085.06
2021-01-06,1184.24
2021-01-07,1255.65
2021-01-08,1192.72
2021-01-09,1292.99
2021-01-10,1302.01
2021-01-11,1035.05
2021-01-12,1077.49
2021-01-13,1126.58
2021-01-14,1186.86
2021-01-15,1159.41
2021-01-16,1235.4
2021-01-17,1159.41
2021-01-18,1233.89
2021-01-19,1409.63
2021-01-20,1324.43
2021-01-21,1171.2
2021-01-22,1244.25
2021-01-23,1247.68
2021-01-24,1359.52
2021-01-25,1346.45
2021-01-26,1334.63
2021-01-27,1276.74
2021-01-28,1352.73
2021-01-29,1372.48
2021-01-30,1389.0
2021-01-31,1290.91
2021-02-01,1350.5
2021-02-02,1519.97
2021-02-03,1633.39
2021-02-04,1642.41
2021-02-05,1720.54
2021-02-06,1711.01
2021-02-07,1557.66
2021-02-08,1703.95
2021-02-09,1770.03
2021-02-10,1729.19
2021-02-11,1769.74
2021-02-12,1853.01
2021-02-13,1813.84
2021-02-14,1804.34
2021-02-15,1789.29
2021-02-16,1753.2
2021-02-17,1855.55
2021-02-18,1946.69
2021-02-19,1957.21
2021-02-20,1965.53
2021-02-21,1951.48
2021-02-22,1801.32
2021-02-23,1535.74
2021-02-24,1591.54
2021-02-25,1522.79
2021-02-26,1429.1
2021-02-27,1507.31
2021-02-28,1329.79
2021-03-01,1546.52
2021-03-02,1468.17
2021-03-03,1595.24
2021-03-04,1516.52
2021-03-05,1532.36
2021-03-06,1642.96
2021-03-07,1675.91
2021-03-08,1791.14
2021-03-09,1825.05
2021-03-10,1815.76
2021-03-11,1841.02
2021-03-12,1757.95
2021-03-13,1932.61
2021-03-14,1853.96
2021-03-15,1792.41
2021-03-16,1797.77
2021-03-17,1815.88
2021-03-18,1773.4
2021-03-19,1817.32
2021-03-20,1828.13
2021-03-21,1791.22
2021-03-22,1678.27
2021-03-23,1672.15
2021-03-24,1611.67
2021-03-25,1603.35
2021-03-26,1665.62
2021-03-27,1718.98
2021-03-28,1702.01
2021-03-29,1807.11
2021-03-30,1840.92
2021-03-31,1939.94
2021-04-01,1969.3
2021-04-02,2090.9
2021-04-03,2060.87
2021-04-04,2072.86
2021-04-05,2104.42
2021-04-06,2121.97
2021-04-07,1987.85
2021-04-08,2054.0
2021-04-09,2070.93
2021-04-10,2094.55
2021-04-11,2147.04
2021-04-12,2144.39
2021-04-13,2302.11
2021-04-14,2370.08
2021-04-15,2502.69
2021-04-16,2460.21
2021-04-17,2392.53
2021-04-18,2171.89
2021-04-19,2208.18
2021-04-20,2307.1
2021-04-21,2404.24
2021-04-22,2407.68
2021-04-23,2322.86
2021-04-24,2296.38
2021-04-25,2327.7
2021-04-26,2458.98
2021-04-27,2647.72
2021-04-28,2707.09
2021-04-29,2709.34
2021-04-30,2765.22
2021-05-01,2950.49
2021-05-02,2936.64
2021-05-03,3287.79
2021-05-04,3406.02
2021-05-05,3465.65
2021-05-06,3467.88
2021-05-07,3502.02
2021-05-08,3849.77
2021-05-09,3910.68
2021-05-10,3911.4
2021-05-11,4143.97
2021-05-12,4101.62
2021-05-13,3717.92
2021-05-14,3997.73
2021-05-15,3791.73
2021-05-16,3358.21
2021-05-17,3442.13
2021-05-18,3440.38
2021-05-19,2603.4
2021-05-20,2764.46
2021-05-21,2253.71
2021-05-22,2362.01
2021-05-23,1899.33
2021-05-24,2625.23
2021-05-25,2555.66
2021-05-26,2799.72
2021-05-27,2722.13
2021-05-28,2427.98
2021-05-29,2237.49
2021-05-30,2438.5
2021-05-31,2599.51
2021-06-01,2578.74
2021-06-02,2722.78
2021-06-03,2822.95
2021-06-04,2702.59
2021-06-05,2634.35
2021-06-06,2711.23
2021-06-07,2659.02
2021-06-08,2537.43
2021-06-09,2561.39
2021-06-10,2469.52
2021-06-11,2381.61
2021-06-12,2408.38
2021-06-13,2527.28
2021-06-14,2541.83
2021-06-15,2522.15
2021-06-16,2399.6
2021-06-17,2344.43
2021-06-18,2194.83
2021-06-19,2225.09
2021-06-20,2262.28
2021-06-21,1940.42
2021-06-22,1930.9
2021-06-23,1929.94
2021-06-24,2004.52
2021-06-25,1867.12
2021-06-26,1766.7
2021-06-27,1816.59
2021-06-28,2131.47
2021-06-29,2191.36
2021-06-30,2237.71
2021-07-01,2121.15
2021-07-02,2093.18
2021-07-03,2220.3
2021-07-04,2350.77
2021-07-05,2216.4
2021-07-06,2309.82
2021-07-07,2363.68
2021-07-08,2138.39
2021-07-09,2135.17
2021-07-10,2094.84
2021-07-11,2129.54
2021-07-12,2027.33
2021-07-13,1947.93
2021-07-14,1988.7
2021-07-15,1926.27
2021-07-16,1901.58
2021-07-17,1899.02
2021-07-18,1894.65
2021-07-19,1819.78
2021-07-20,1794.38
2021-07-21,1946.72
2021-07-22,2016.39
2021-07-23,2041.21
2021-07-24,2154.42
2021-07-25,2158.03
2021-07-26,2265.3
2021-07-27,2244.46
2021-07-28,2295.44
2021-07-29,2313.14
2021-07-30,2419.95
2021-07-31,2491.95
2021-08-01,2671.02
2021-08-02,2597.67
2021-08-03,2485.1
2021-08-04,2710.26
2021-08-05,2806.19
2021-08-06,2915.13
2021-08-07,3082.2
2021-08-08,2992.16
2021-08-09,3069.83
2021-08-10,3157.47
2021-08-11,3236.03
2021-08-12,3067.94
2021-08-13,3283.46
2021-08-14,3232.01
2021-08-15,3262.76
2021-08-16,3164.48
2021-08-17,3072.28
2021-08-18,3008.13
2021-08-19,3158.68
2021-08-20,3260.16
2021-08-21,3231.64
2021-08-22,3154.46
2021-08-23,3340.48
2021-08-24,3217.51
2021-08-25,3208.36
2021-08-26,3119.29
2021-08-27,3264.39
2021-08-28,3239.62
2021-08-29,3238.88
2021-08-30,3341.3
2021-08-31,3391.83
2021-09-01,3728.73
2021-09-02,3809.19
2021-09-03,3917.54
2021-09-04,3881.36
2021-09-05,3923.63
2021-09-06,3954.41
2021-09-07,3415.88
2021-09-08,3472.36
2021-09-09,3431.43
2021-09-10,3248.78
2021-09-11,3295.64
2021-09-12,3405.71
2021-09-13,3289.85
2021-09-14,3376.54
2021-09-15,3562.34
2021-09-16,3497.95
2021-09-17,3375.96
2021-09-18,3396.42
2021-09-19,3362.72
2021-09-20,3018.83
2021-09-21,2774.63
2021-09-22,3027.39
2021-09-23,3142.01
2021-09-24,2931.48
2021-09-25,2921.94
2021-09-26,3038.55
2021-09-27,2954.92
2021-09-28,2863.17
2021-09-29,2821.6
2021-09-30,2972.45
2021-10-01,3292.32
2021-10-02,3428.25
2021-10-03,3466.83
2021-10-04,3384.1
2021-10-05,3526.54
2021-10-06,3561.95
2021-10-07,3625.53
2021-10-08,3555.97
2021-10-09,3579.21
2021-10-10,3524.59
2021-10-11,3492.45
2021-10-12,3478.54
2021-10-13,3574.33
2021-10-14,3764.11
2021-10-15,3880.7
2021-10-16,3831.91
2021-10-17,3804.33
2021-10-18,3733.06
2021-10-19,3805.06
2021-10-20,4108.81
2021-10-21,4090.14
2021-10-22,3984.61
2021-10-23,4088.76
2021-10-24,4024.28
2021-10-25,4180.01
2021-10-26,4263.56
2021-10-27,3983.41
2021-10-28,4254.71
2021-10-29,4403.28
2021-10-30,4311.69
2021-10-31,4242.89
2021-11-01,4311.66
2021-11-02,4505.65
2021-11-03,4618.83
2021-11-04,4515.28
2021-11-05,4452.98
2021-11-06,4486.54
2021-11-07,4613.39
2021-11-08,4772.42
2021-11-09,4800.11
2021-11-10,4554.01
2021-11-11,4746.04
2021-11-12,4657.48
2021-11-13,4656.69
2021-11-14,4557.92
2021-11-15,4565.19
2021-11-16,4255.59
2021-11-17,4256.83
2021-11-18,4023.52
2021-11-19,4291.52
2021-11-20,4431.61
2021-11-21,4376.66
2021-11-22,4080.64
2021-11-23,4351.58
2021-11-24,4259.54
2021-11-25,4501.44
2021-11-26,4071.49
2021-11-27,4083.92
2021-11-28,4038.6
2021-11-29,4453.48
2021-11-30,4629.96
2021-12-01,4567.88
2021-12-02,4548.21
2021-12-03,4215.38
2021-12-04,4071.33
2021-12-05,4160.49
2021-12-06,4324.94
2021-12-07,4291.62
2021-12-08,4419.76
2021-12-09,4166.5
2021-12-10,3996.8
2021-12-11,4029.47
2021-12-12,4088.39
2021-12-13,3771.31
2021-12-14,3853.85
2021-12-15,4063.75
2021-12-16,4031.44
2021-12-17,3907.2
2021-12-18,3978.7
2021-12-19,3927.2
2021-12-20,3912.97
2021-12-21,4027.43
2021-12-22,4015.58
2021-12-23,4114.8
2021-12-24,4067.56
2021-12-25,4120.29
2021-12-26,4084.09
2021-12-27,4061.05
2021-12-28,3807.86
2021-12-29,3726.84
2021-12-30,3736.76
2021-12-31,3688.98
2022-01-01,3688.98
2022-01-02,3688.98
2022-01-03,3724.56
2022-01-04,3825.81
2022-01-05,3553.51
2022-01-06,3427.81
2022-01-07,3215.5
2022-01-08,3079.33
2022-01-09,3166.35
2022-01-10,3075.05
2022-01-11,3232.33
2022-01-12,3368.62
2022-01-13,3271.76
2022-01-14,3333.61
2022-01-15,3336.57
2022-01-16,3348.32
2022-01-17,3166.25
2022-01-18,3164.73
2022-01-19,3115.1
2022-01-20,3080.48
2022-01-21,2609.88
2022-01-22,2446.95
2022-01-23,2439.05
2022-01-24,2443.44
2022-01-25,2414.21
2022-01-26,2418.93
2022-01-27,2360.79
2022-01-28,2536.43
2022-01-29,2617.37
2022-01-30,2561.72
2022-01-31,2680.88
2022-02-01,2798.88
2022-02-02,2656.45
2022-02-03,2661.65
2022-02-04,2956.25
2022-02-05,3022.92
2022-02-06,3004.05
2022-02-07,3153.39
2022-02-08,3117.13
2022-02-09,3239.47
2022-02-10,3116.39
2022-02-11,2928.13
2022-02-12,2878.37
2022-02-13,2889.39
2022-02-14,2915.82
2022-02-15,3098.6
2022-02-16,3142.98
2022-02-17,2895.73
2022-02-18,2783.05
2022-02-19,2740.62
2022-02-20,2646.82
2022-02-21,2583.38
2022-02-22,2607.35
2022-02-23,2619.64
2022-02-24,2636.67
2022-02-25,2708.85
2022-02-26,2826.64
2022-02-27,2765.5
2022-02-28,2821.18
2022-03-01,2956.86
2022-03-02,2975.86
2022-03-03,2804.43
2022-03-04,2608.08
2022-03-05,2655.72
2022-03-06,2632.08
2022-03-07,2483.55
2022-03-08,2558.98
2022-03-09,2707.9
2022-03-10,2604.05
2022-03-11,2571.52
2022-03-12,2587.48
2022-03-13,2579.12
2022-03-14,2526.27
2022-03-15,2625.12
2022-03-16,2773.5
2022-03-17,2808.73
2022-03-18,2948.69
2022-03-19,2954.42
2022-03-20,2827.03
2022-03-21,2910.8
2022-03-22,3003.04
2022-03-23,2983.78
2022-03-24,3107.18
2022-03-25,3127.22
2022-03-26,3144.48
2022-03-27,3180.58
2022-03-28,3418.54
2022-03-29,3398.74
2022-03-30,3414.69
2022-03-31,3300.49
2022-04-01,3442.96
2022-04-02,3471.84
2022-04-03,3510.6
2022-04-04,3509.74
2022-04-05,3444.03
2022-04-06,3234.24
2022-04-07,3239.76
2022-04-08,3249.26
2022-04-09,3225.1
2022-04-10,3289.49
2022-04-11,2992.49
2022-04-12,2986.92
2022-04-13,3106.01
2022-04-14,3013.43
2022-04-15,3030.41
2022-04-16,3033.22
2022-04-17,3046.03
2022-04-18,3005.6
2022-04-19,3095.96
2022-04-20,3086.18
2022-04-21,3000.27
2022-04-22,2972.41
2022-04-23,2964.33
2022-04-24,2952.12
2022-04-25,2994.03
2022-04-26,2829.73
2022-04-27,2865.71
2022-04-28,2948.06
2022-04-29,2806.68
2022-04-30,2790.52
2022-05-01,2772.81
2022-05-02,2827.09
2022-05-03,2783.89
2022-05-04,2944.35
2022-05-05,2756.21
2022-05-06,2705.6
2022-05-07,2673.39
2022-05-08,2539.57
2022-05-09,2290.9
2022-05-10,2327.31
2022-05-11,2036.08
2022-05-12,1927.18
2022-05-13,2042.43
2022-05-14,1995.59
2022-05-15,2129.83
2022-05-16,2033.07
2022-05-17,2051.18
2022-05-18,1964.62
2022-05-19,2013.97
2022-05-20,1957.78
2022-05-21,1973.08
2022-05-22,2006.0
2022-05-23,1997.5
2022-05-24,1968.89
2022-05-25,1959.06
2022-05-26,1825.36
2022-05-27,1743.37
2022-05-28,1791.8
2022-05-29,1795.25
2022-05-30,1952.77
2022-05-31,1952.12
2022-06-01,1791.18
2022-06-02,1822.39
2022-06-03,1758.06
2022-06-04,1776.54
2022-06-05,1814.76
2022-06-06,1860.42
2022-06-07,1843.27
2022-06-08,1795.43
2022-06-09,1793.52
2022-06-10,1676.72
2022-06-11,1521.47
2022-06-12,1512.03
2022-06-13,1240.18
2022-06-14,1187.85
2022-06-15,1179.49
2022-06-16,1098.43
2022-06-17,1094.0
2022-06-18,902.98
2022-06-19,1139.88
2022-06-20,1119.71
2022-06-21,1121.57
2022-06-22,1047.83
2022-06-23,1134.6
2022-06-24,1218.14
2022-06-25,1208.54
2022-06-26,1246.89
2022-06-27,1201.7
2022-06-28,1160.37
2022-06-29,1108.1
2022-06-30,1009.79
2022-07-01,1067.72
2022-07-02,1062.97
2022-07-03,1058.31
2022-07-04,1121.72
2022-07-05,1153.17
2022-07-06,1160.54
2022-07-07,1237.91
2022-07-08,1243.1
2022-07-09,1218.91
2022-07-10,1167.55
2022-07-11,1137.58
2022-07-12,1046.34
2022-07-13,1075.7
2022-07-14,1193.07
2022-07-15,1256.51
2022-07-16,1347.42
2022-07-17,1344.04
2022-07-18,1473.01
2022-07-19,1559.03
2022-07-20,1520.85
2022-07-21,1585.32
2022-07-22,1527.24
2022-07-23,1525.36
2022-07-24,1608.46
2022-07-25,1522.94
2022-07-26,1380.31
2022-07-27,1601.63
2022-07-28,1757.68
2022-07-29,1733.09
2022-07-30,1703.53
2022-07-31,1721.09
2022-08-01,1629.13
2022-08-02,1652.25
2022-08-03,1643.3
2022-08-04,1591.4
2022-08-05,1679.94
2022-08-06,1679.65
2022-08-07,1715.53
2022-08-08,1797.53
2022-08-09,1697.1
2022-08-10,1843.5
2022-08-11,1902.5
2022-08-12,1933.1
2022-08-13,1933.1
2022-08-14,1940.41
2022-08-15,1904.16
2022-08-16,1884.7
2022-08-17,1851.45
2022-08-18,1877.45
2022-08-19,1686.7
2022-08-20,1532.82
2022-08-21,1616.25
2022-08-22,1579.15
2022-08-23,1647.46
2022-08-24,1683.46
2022-08-25,1708.83
2022-08-26,1556.41
2022-08-27,1480.6
2022-08-28,1483.15
2022-08-29,1546.05
2022-08-30,1559.34
2022-08-31,1570.37
2022-09-01,1580.15
2022-09-02,1568.55
2022-09-03,1552.29
2022-09-04,1571.34
2022-09-05,1597.6
2022-09-06,1582.1
