Date,ETH_Volume
2021-01-01,40730301359
2021-01-02,67865420765
2021-01-03,78665235202
2021-01-04,81163475344
2021-01-05,67547324782
2021-01-06,75289433811
2021-01-07,84762141031
2021-01-08,88107519480
2021-01-09,61984162837
2021-01-10,79980747690
2021-01-11,123320567399
2021-01-12,74773277909
2021-01-13,69364315979
2021-01-14,63615990033
2021-01-15,67760757881
2021-01-16,57706187875
2021-01-17,52359854336
2021-01-18,49511702429
2021-01-19,57244195486
2021-01-20,66834573161
2021-01-21,75643067688
2021-01-22,77207272511
2021-01-23,48354737975
2021-01-24,48643830599
2021-01-25,59897054838
2021-01-26,60255421470
2021-01-27,62576762015
2021-01-28,76517157706
2021-01-29,117894572511
2021-01-30,65141828798
2021-01-31,52754542671
2021-02-01,61400400660
2021-02-02,63088585433
2021-02-03,61166818159
2021-02-04,68838074392
2021-02-05,58598066402
2021-02-06,71326033653
2021-02-07,65500641143
2021-02-08,101467222687
2021-02-09,91809846886
2021-02-10,87301089896
2021-02-11,81388911810
2021-02-12,76555041196
2021-02-13,70250456155
2021-02-14,71248675228
2021-02-15,77069903166
2021-02-16,77049582886
2021-02-17,80820545404
2021-02-18,52054723579
2021-02-19,63495496918
2021-02-20,68145460026
2021-02-21,51897585191
2021-02-22,92052420332
2021-02-23,106102492824
2021-02-24,63695521388
2021-02-25,54506565949
2021-02-26,350967941479
2021-02-27,45910946382
2021-02-28,53443887451
2021-03-01,53891300112
2021-03-02,47530897720
2021-03-03,53220811975
2021-03-04,52343816680
2021-03-05,48625928883
2021-03-06,34363564661
2021-03-07,43137459378
2021-03-08,48597428048
2021-03-09,50912227385
2021-03-10,57295577614
2021-03-11,56772343595
2021-03-12,55689944702
2021-03-13,60669829814
2021-03-14,43901225564
2021-03-15,66419369890
2021-03-16,59749798599
2021-03-17,60258313191
2021-03-18,55746041000
2021-03-19,49063873786
2021-03-20,50361731222
2021-03-21,51943414539
2021-03-22,56521454974
2021-03-23,56435023914
2021-03-24,70567223787
2021-03-25,67999812841
2021-03-26,56652197978
2021-03-27,47266542233
2021-03-28,47686580918
2021-03-29,57625587027
2021-03-30,54414116432
2021-03-31,65520826225
2021-04-01,61669163792
2021-04-02,58727860620
2021-04-03,59641344484
2021-04-04,50749662970
2021-04-05,60706272115
2021-04-06,66058027988
2021-04-07,75645303584
2021-04-08,53053855641
2021-04-09,46655208546
2021-04-10,58238470525
2021-04-11,46280252580
2021-04-12,51828688519
2021-04-13,69983454362
2021-04-14,77451779687
2021-04-15,60954381579
2021-04-16,84293007468
2021-04-17,66138759198
2021-04-18,97468872758
2021-04-19,65344865159
2021-04-20,67849323955
2021-04-21,54926612466
2021-04-22,74798630778
2021-04-23,86668667320
2021-04-24,49014494781
2021-04-25,46117114240
2021-04-26,58284039825
2021-04-27,49448222757
2021-04-28,48000572955
2021-04-29,46088929780
2021-04-30,52395931985
2021-05-01,42836427360
2021-05-02,38177405335
2021-05-03,51713139031
2021-05-04,68564706967
2021-05-05,69241316747
2021-05-06,69523285106
2021-05-07,68434023376
2021-05-08,65382980634
2021-05-09,65906690347
2021-05-10,71776546298
2021-05-11,61308396325
2021-05-12,75215403907
2021-05-13,96721152926
2021-05-14,55737497453
2021-05-15,59161047474
2021-05-16,64047871555
2021-05-17,74903638450
2021-05-18,56187365084
2021-05-19,126358098747
2021-05-20,88281943359
2021-05-21,82051616861
2021-05-22,57377273240
2021-05-23,78469274361
2021-05-24,67359584098
2021-05-25,56211915803
2021-05-26,51346735160
2021-05-27,43210968721
2021-05-28,55200191952
2021-05-29,45231013335
2021-05-30,31646080921
2021-05-31,39009847639
2021-06-01,34639423297
2021-06-02,33070867190
2021-06-03,35460750427
2021-06-04,41831090187
2021-06-05,35959473399
2021-06-06,28913440585
2021-06-07,33683936663
2021-06-08,49902050442
2021-06-09,53972919008
2021-06-10,43576032854
2021-06-11,38699736985
2021-06-12,37924228550
2021-06-13,40669112838
2021-06-14,43148914673
2021-06-15,46420149185
2021-06-16,39211635100
2021-06-17,37096670047
2021-06-18,36200887275
2021-06-19,31207279719
2021-06-20,36664034054
2021-06-21,52809038594
2021-06-22,58964353058
2021-06-23,46317108925
2021-06-24,33123368116
2021-06-25,40230904226
2021-06-26,38585385521
2021-06-27,35511640894
2021-06-28,33892523752
2021-06-29,37901460044
2021-06-30,34059036099
2021-07-01,37838957079
2021-07-02,38728974942
2021-07-03,24383958643
2021-07-04,24924307911
2021-07-05,26721554282
2021-07-06,26501259870
2021-07-07,24796027477
2021-07-08,29910396946
2021-07-09,27436021028
2021-07-10,22971873468
2021-07-11,20108729370
2021-07-12,24321499537
2021-07-13,19120856669
2021-07-14,21376531210
2021-07-15,21300524237
2021-07-16,23699476918
2021-07-17,18895018942
2021-07-18,18787986667
2021-07-19,20434789545
2021-07-20,23148267245
2021-07-21,28203024559
2021-07-22,19555230518
2021-07-23,22552046192
2021-07-24,21664706865
2021-07-25,20856685287
2021-07-26,51022126212
2021-07-27,35097370560
2021-07-28,38702404695
2021-07-29,27167146027
2021-07-30,33072782960
2021-07-31,25802845343
2021-08-01,26688438115
2021-08-02,25595265436
2021-08-03,26189830450
2021-08-04,25372562724
2021-08-05,35185031017
2021-08-06,38226483046
2021-08-07,40030862141
2021-08-08,36302664750
2021-08-09,38734079049
2021-08-10,33546019517
2021-08-11,34319709073
2021-08-12,33723620826
2021-08-13,31744259539
2021-08-14,31211354442
2021-08-15,30988958446
2021-08-16,32776876610
2021-08-17,33451362600
2021-08-18,32194123075
2021-08-19,37204312299
2021-08-20,34706867452
2021-08-21,40585205312
2021-08-22,25370975378
2021-08-23,34305053719
2021-08-24,35361168834
2021-08-25,32646349931
2021-08-26,32666549568
2021-08-27,34511076995
2021-08-28,28568103401
2021-08-29,25889650240
2021-08-30,31847007016
2021-08-31,34730363427
2021-09-01,39139399125
2021-09-02,39508070319
2021-09-03,43206179619
2021-09-04,37471327794
2021-09-05,30322676319
2021-09-06,38884105426
2021-09-07,65210059683
2021-09-08,49007762488
2021-09-09,38672657013
2021-09-10,39154666597
2021-09-11,34499835245
2021-09-12,27881980161
2021-09-13,40969943253
2021-09-14,38652152880
2021-09-15,30484496466
2021-09-16,31764293754
2021-09-17,28727713711
2021-09-18,28575630451
2021-09-19,26967722648
2021-09-20,43909845642
2021-09-21,48701090088
2021-09-22,38139709246
2021-09-23,34244064430
2021-09-24,42839345714
2021-09-25,31604717236
2021-09-26,30661222077
2021-09-27,30980029059
2021-09-28,30214940550
2021-09-29,30602359905
2021-09-30,31141681925
2021-10-01,42850641582
2021-10-02,30614346492
2021-10-03,26638115879
2021-10-04,33383173002
2021-10-05,35873904236
2021-10-06,49034730168
2021-10-07,36807860413
2021-10-08,34800873924
2021-10-09,32491211414
2021-10-10,39527792364
2021-10-11,42637331698
2021-10-12,41083758949
2021-10-13,41684252783
2021-10-14,36615791366
2021-10-15,51780081801
2021-10-16,34250964237
2021-10-17,29032367511
2021-10-18,38055562075
2021-10-19,40471196346
2021-10-20,40788955582
2021-10-21,45908121370
2021-10-22,38434082775
2021-10-23,26882546034
2021-10-24,27316183882
2021-10-25,31064911614
2021-10-26,34878965587
2021-10-27,43657076893
2021-10-28,45257083247
2021-10-29,36856881767
2021-10-30,32157938616
2021-10-31,32241199927
2021-11-01,36150572843
2021-11-02,37746665647
2021-11-03,36124731509
2021-11-04,32615846901
2021-11-05,30605102446
2021-11-06,29094934221
2021-11-07,24726754302
2021-11-08,41125608330
2021-11-09,42357991721
2021-11-10,48730828378
2021-11-11,35880633236
2021-11-12,36084893887
2021-11-13,30474228777
2021-11-14,25122092191
2021-11-15,30558763548
2021-11-16,46844335592
2021-11-17,39178392930
2021-11-18,41388338699
2021-11-19,38702407772
2021-11-20,30624264863
2021-11-21,26123447605
2021-11-22,35036121783
2021-11-23,37485803899
2021-11-24,36635566789
2021-11-25,34284016248
2021-11-26,41810748221
2021-11-27,30560857714
2021-11-28,28116886357
2021-11-29,32370840356
2021-11-30,36708594618
2021-12-01,36858195307
2021-12-02,32379968686
2021-12-03,39789134215
2021-12-04,61385677469
2021-12-05,37198201161
2021-12-06,37707308001
2021-12-07,33676814852
2021-12-08,28479699446
2021-12-09,29603577251
2021-12-10,30966005122
2021-12-11,25775869261
2021-12-12,21939223599
2021-12-13,32166727776
2021-12-14,34638619079
2021-12-15,36541828520
2021-12-16,27268150947
2021-12-17,32902725329
2021-12-18,26098292690
2021-12-19,25154053861
2021-12-20,30961902129
2021-12-21,27055803928
2021-12-22,24447979559
2021-12-23,28223878108
2021-12-24,24367912228
2021-12-25,19030650914
2021-12-26,20964372926
2021-12-27,24324345758
2021-12-28,33430376883
2021-12-29,30049226299
2021-12-30,26686491018
2021-12-31,36974172400
2022-01-01,24582667004
2022-01-02,27951569547
2022-01-03,33071628362
2022-01-04,42494677905
2022-01-05,36851084859
2022-01-06,30208048289
2022-01-07,84196607520
2022-01-08,28066355845
2022-01-09,21294384372
2022-01-10,32104232331
2022-01-11,26327648900
2022-01-12,33499938689
2022-01-13,47691135082
2022-01-14,23577403399
2022-01-15,18371348298
2022-01-16,17902097845
2022-01-17,21690904261
2022-01-18,22417209227
2022-01-19,23091543258
2022-01-20,20382033940
2022-01-21,43011992031
2022-01-22,39714385405
2022-01-23,26017975951
2022-01-24,41856658597
2022-01-25,26428189594
2022-01-26,31324598034
2022-01-27,25041426629
2022-01-28,22238830523
2022-01-29,17194183075
2022-01-30,14643548444
2022-01-31,20734730465
2022-02-01,20288500328
2022-02-02,19155189416
2022-02-03,18591534769
2022-02-04,29412210792
2022-02-05,19652846215
2022-02-06,16142097334
2022-02-07,28641855926
2022-02-08,33079398868
2022-02-09,23245887300
2022-02-10,32142048537
2022-02-11,26954925781
2022-02-12,18152390304
2022-02-13,14741589015
2022-02-14,20827783012
2022-02-15,22721659051
2022-02-16,19792547657
2022-02-17,26246662813
2022-02-18,23310007704
2022-02-19,13736557863
2022-02-20,18340576452
2022-02-21,29280402798
2022-02-22,25493150450
