Variable,N,Mean,Std_Dev,Min,P25,Median,P75,Max,Skewness,Kurtosis
BTC_Return,1825,0.0006014225322746845,0.033355714034295554,-0.370328563333529,-0.0124656158432068,0.0007016216251203,0.0150161031638222,0.3653253511892223,-0.23028137067148172,18.98046845035298
ETH_Return,1825,0.0007705666160512472,0.04208476311174624,-0.2787636473505414,-0.0172311472271108,0.0010819540159494,0.0204701459981487,0.3236673188485697,-0.012655679236460153,7.976484643446704
BTC_Lagged_Return,1824,0.000604935526018759,0.033364523651750765,-0.370328563333529,-0.01247794573648755,0.00071972467315715,0.0150396211297895,0.3653253511892223,-0.23053769646776245,18.96943812095887
ETH_Lagged_Return,1824,0.0007686298523411775,0.04209622289654661,-0.2787636473505414,-0.01723827910981445,0.0010708234021172,0.02047682305045995,0.3236673188485697,-0.01251443949506437,7.97056371171481
Lagged_Log_BTC_Volume,1825,24.1727079026071,0.5831007604408468,22.396837088630488,23.783393035734825,24.18299852413868,24.577910826802736,26.583960721423335,-0.10755669257764945,-0.09803011419416352
Lagged_Log_ETH_Volume,1825,23.48489523095956,0.6709584418621012,21.456415032094935,23.050747457348542,23.522650428380885,23.94368839193062,25.30554215813766,-0.26156177452675505,-0.19348752402242786
Lagged_SP500_Return,1253,0.0004967820076961831,0.010675773548874846,-0.0616090736758802,-0.0046898535700948,0.0008243274123172,0.0062450565111568,0.0908949016487148,-0.003592982729929771,6.455783926397128
Lagged_VIX_Change,1280,-0.009875,1.8221327535875749,-18.71,-0.7725,-0.120000000000001,0.6000000000000014,15.290000000000004,0.906425774033715,22.616040765762186
Lagged_Gold_Return,1255,0.0006451619251529352,0.01009523627468843,-0.0590620355400498,-0.0043927331395515,0.0008147256292718,0.0066836721783943,0.0343676442916245,-0.5235419253611849,2.5787951765542374
Lagged_DXY_Return,1293,6.827817530513185e-05,0.004376874149109911,-0.0214220438418628,-0.0023981754424927,8.775051559067971e-05,0.0026622918715327,0.016380156478666,-0.31771540251428637,1.7536421878918298
Lagged_US10Y_Change,1247,0.0025741780272654355,0.061993610765209074,-0.3000000000000002,-0.04,0.0,0.04,0.2800000000000002,-0.1274632738464511,1.0084906655694712
