Asset,Sample,Period,N,First_Date,Last_Date,Weekend_Observations,Weekday_Observations
BTC,Eligible_Benchmark,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
BTC,Eligible_Benchmark,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
BTC,Eligible_Benchmark,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
BTC,Eligible_Activity,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
BTC,Eligible_Activity,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
BTC,Eligible_Activity,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
BTC,Eligible_Sentiment,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
BTC,Eligible_Sentiment,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
BTC,Eligible_Sentiment,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
BTC,Eligible_Both,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
BTC,Eligible_Both,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
BTC,Eligible_Both,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
BTC,Activity_Comparison_Sample,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
BTC,Activity_Comparison_Sample,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
BTC,Activity_Comparison_Sample,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
BTC,Sentiment_Comparison_Sample,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
BTC,Sentiment_Comparison_Sample,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
BTC,Sentiment_Comparison_Sample,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
BTC,Both_Comparison_Sample,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
BTC,Both_Comparison_Sample,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
BTC,Both_Comparison_Sample,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
BTC,Common_Main_Model_Sample,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
BTC,Common_Main_Model_Sample,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
BTC,Common_Main_Model_Sample,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
BTC,Eligible_Benchmark_Cross,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
BTC,Eligible_Benchmark_Cross,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
BTC,Eligible_Benchmark_Cross,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
BTC,Eligible_Activity_Cross,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
BTC,Eligible_Activity_Cross,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
BTC,Eligible_Activity_Cross,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
BTC,Eligible_Sentiment_Cross,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
BTC,Eligible_Sentiment_Cross,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
BTC,Eligible_Sentiment_Cross,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
BTC,Eligible_Both_Cross,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
BTC,Eligible_Both_Cross,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
BTC,Eligible_Both_Cross,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
BTC,Common_Cross_Robustness_Sample,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
BTC,Common_Cross_Robustness_Sample,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
BTC,Common_Cross_Robustness_Sample,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
ETH,Eligible_Benchmark,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
ETH,Eligible_Benchmark,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
ETH,Eligible_Benchmark,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
ETH,Eligible_Activity,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
ETH,Eligible_Activity,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
ETH,Eligible_Activity,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
ETH,Eligible_Sentiment,FULL_SAMPLE,1799,2021-01-06,2025-12-31,512,1287
ETH,Eligible_Sentiment,INITIAL_TRAIN,1080,2021-01-06,2023-12-31,308,772
ETH,Eligible_Sentiment,OUT_OF_SAMPLE,719,2024-01-01,2025-12-31,204,515
ETH,Eligible_Both,FULL_SAMPLE,1799,2021-01-06,2025-12-31,512,1287
ETH,Eligible_Both,INITIAL_TRAIN,1080,2021-01-06,2023-12-31,308,772
ETH,Eligible_Both,OUT_OF_SAMPLE,719,2024-01-01,2025-12-31,204,515
ETH,Activity_Comparison_Sample,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
ETH,Activity_Comparison_Sample,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
ETH,Activity_Comparison_Sample,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
ETH,Sentiment_Comparison_Sample,FULL_SAMPLE,1799,2021-01-06,2025-12-31,512,1287
ETH,Sentiment_Comparison_Sample,INITIAL_TRAIN,1080,2021-01-06,2023-12-31,308,772
ETH,Sentiment_Comparison_Sample,OUT_OF_SAMPLE,719,2024-01-01,2025-12-31,204,515
ETH,Both_Comparison_Sample,FULL_SAMPLE,1799,2021-01-06,2025-12-31,512,1287
ETH,Both_Comparison_Sample,INITIAL_TRAIN,1080,2021-01-06,2023-12-31,308,772
ETH,Both_Comparison_Sample,OUT_OF_SAMPLE,719,2024-01-01,2025-12-31,204,515
ETH,Common_Main_Model_Sample,FULL_SAMPLE,1799,2021-01-06,2025-12-31,512,1287
ETH,Common_Main_Model_Sample,INITIAL_TRAIN,1080,2021-01-06,2023-12-31,308,772
ETH,Common_Main_Model_Sample,OUT_OF_SAMPLE,719,2024-01-01,2025-12-31,204,515
ETH,Eligible_Benchmark_Cross,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
ETH,Eligible_Benchmark_Cross,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
ETH,Eligible_Benchmark_Cross,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
ETH,Eligible_Activity_Cross,FULL_SAMPLE,1821,2021-01-06,2025-12-31,520,1301
ETH,Eligible_Activity_Cross,INITIAL_TRAIN,1090,2021-01-06,2023-12-31,312,778
ETH,Eligible_Activity_Cross,OUT_OF_SAMPLE,731,2024-01-01,2025-12-31,208,523
ETH,Eligible_Sentiment_Cross,FULL_SAMPLE,1799,2021-01-06,2025-12-31,512,1287
ETH,Eligible_Sentiment_Cross,INITIAL_TRAIN,1080,2021-01-06,2023-12-31,308,772
ETH,Eligible_Sentiment_Cross,OUT_OF_SAMPLE,719,2024-01-01,2025-12-31,204,515
ETH,Eligible_Both_Cross,FULL_SAMPLE,1799,2021-01-06,2025-12-31,512,1287
ETH,Eligible_Both_Cross,INITIAL_TRAIN,1080,2021-01-06,2023-12-31,308,772
ETH,Eligible_Both_Cross,OUT_OF_SAMPLE,719,2024-01-01,2025-12-31,204,515
ETH,Common_Cross_Robustness_Sample,FULL_SAMPLE,1799,2021-01-06,2025-12-31,512,1287
ETH,Common_Cross_Robustness_Sample,INITIAL_TRAIN,1080,2021-01-06,2023-12-31,308,772
ETH,Common_Cross_Robustness_Sample,OUT_OF_SAMPLE,719,2024-01-01,2025-12-31,204,515
