Date,ETH_Volume
2021-01-01,13652004358
2021-01-02,19740771179
2021-01-03,45200463368
2021-01-04,56945985763
2021-01-05,41535932781
2021-01-06,44699914188
2021-01-07,40468027280
2021-01-08,44334826666
2021-01-09,33233105361
2021-01-10,40616938053
2021-01-11,60733630300
2021-01-12,37494601692
2021-01-13,30109792795
2021-01-14,33410915929
2021-01-15,35972039310
2021-01-16,32319240157
2021-01-17,29258032819
2021-01-18,25817455560
2021-01-19,47195935190
2021-01-20,46784030909
2021-01-21,45932464754
2021-01-22,43918338506
2021-01-23,27253895441
2021-01-24,36418163554
2021-01-25,43565777745
2021-01-26,41572917750
2021-01-27,39394416990
2021-01-28,34637234789
2021-01-29,53611955259
2021-01-30,30616574234
2021-01-31,25198853581
2021-02-01,29210670920
2021-02-02,45437142801
2021-02-03,41874566399
2021-02-04,44396871836
2021-02-05,40108628454
2021-02-06,39873420648
2021-02-07,39889440151
2021-02-08,48012285956
2021-02-09,44180727529
2021-02-10,41916084617
2021-02-11,36021495262
2021-02-12,37905036865
2021-02-13,35359490535
2021-02-14,31439114900
2021-02-15,38955610883
2021-02-16,34269369268
2021-02-17,35955412703
2021-02-18,28255902969
2021-02-19,26268814253
2021-02-20,34696091102
2021-02-21,23626547717
2021-02-22,42409646036
2021-02-23,52029864713
2021-02-24,31329000537
2021-02-25,24481681873
2021-02-26,31435997881
2021-02-27,20742103233
2021-02-28,27637026080
2021-03-01,24032838645
2021-03-02,22523669722
2021-03-03,22674780680
2021-03-04,22906118718
2021-03-05,21067146937
2021-03-06,22746262366
2021-03-07,23809935410
2021-03-08,27630991158
2021-03-09,23461244507
2021-03-10,25154173185
2021-03-11,24013132909
2021-03-12,22435821312
2021-03-13,25014689475
2021-03-14,19344589211
2021-03-15,26244738810
2021-03-16,23828509590
2021-03-17,24512917348
2021-03-18,23263845504
2021-03-19,21249297710
2021-03-20,22677674970
2021-03-21,22977404620
2021-03-22,23599296129
2021-03-23,21998237965
2021-03-24,31228051473
2021-03-25,29650328701
2021-03-26,22548516548
2021-03-27,18102277710
2021-03-28,16599472938
2021-03-29,22796570548
2021-03-30,22512781703
2021-03-31,30226902621
2021-04-01,30914259795
2021-04-02,34862511022
2021-04-03,32011518871
2021-04-04,26006501902
2021-04-05,28889391170
2021-04-06,29222865881
2021-04-07,36116271935
2021-04-08,25312956529
2021-04-09,19812472092
2021-04-10,24986243611
2021-04-11,19692836132
2021-04-12,21727936609
2021-04-13,29456642939
2021-04-14,35592822986
2021-04-15,32325606817
2021-04-16,36196928256
2021-04-17,32349808978
2021-04-18,50696368718
2021-04-19,34060654971
2021-04-20,39433483315
2021-04-21,38899067643
2021-04-22,53575904724
2021-04-23,55413933925
2021-04-24,31854226936
2021-04-25,31814355546
2021-04-26,35208325408
2021-04-27,32275969215
2021-04-28,34269031076
2021-04-29,32578127990
2021-04-30,29777179889
2021-05-01,28726205272
2021-05-02,28032013047
2021-05-03,49174290212
2021-05-04,62402045158
2021-05-05,48334198383
2021-05-06,44300394788
2021-05-07,39607240515
2021-05-08,50208491286
2021-05-09,50568290278
2021-05-10,62691789007
2021-05-11,52679737865
2021-05-12,69023382175
2021-05-13,78398214539
2021-05-14,48174271215
2021-05-15,42422321751
2021-05-16,47359478734
2021-05-17,54061732774
2021-05-18,40416525218
2021-05-19,84482912776
2021-05-20,67610826680
2021-05-21,53774070802
2021-05-22,42089937660
2021-05-23,56005721977
2021-05-24,53697121740
2021-05-25,49558333256
2021-05-26,42499766020
2021-05-27,33373635283
2021-05-28,39999114805
2021-05-29,33773720220
2021-05-30,25876619428
2021-05-31,31007383150
2021-06-01,27363223090
2021-06-02,27723267359
2021-06-03,30038207402
