Model,Variable,Coefficient,Predictor_SD,One_SD_Return_Effect,One_SD_Effect_Percentage_Points,One_SD_Effect_Basis_Points,p_Value,Significance
BTC Baseline,BTC_Lagged_Return,-0.11924172554615935,0.033258272981092595,-0.00396577385895069,-0.39657738589506897,-39.6577385895069,0.08284290894650785,*
BTC Baseline,Lagged_Log_BTC_Volume,-0.0005123507691376557,0.582612308149719,-0.00029850186418957337,-0.02985018641895734,-2.9850186418957336,0.6961584998334263,
BTC Baseline,Lagged_SP500_Return_Aligned,0.07148308249650734,0.010807912353154366,0.0007725828903555543,0.07725828903555543,7.725828903555543,0.624662728067811,
BTC Baseline,Lagged_VIX_Change_Aligned,8.191353646343959e-05,1.8442717018389427,0.00015107081729707401,0.015107081729707402,1.5107081729707401,0.910182326089676,
BTC Baseline,Lagged_Gold_Return_Aligned,0.07905408872834827,0.010138117912858869,0.0008014596730216019,0.08014596730216018,8.014596730216018,0.3574880832283992,
BTC Baseline,Lagged_DXY_Return_Aligned,-0.021798844640199728,0.004389376475026055,-9.56833358464405e-05,-0.00956833358464405,-0.956833358464405,0.9173080660148326,
BTC Baseline,Lagged_US10Y_Change_Aligned,0.0012726808911085149,0.0633065300567964,8.056901108567163e-05,0.008056901108567162,0.8056901108567163,0.9315873814633332,
BTC + Lagged ETH Robustness,BTC_Lagged_Return,-0.15419754574829722,0.033258272981092595,-0.005128344069511383,-0.5128344069511382,-51.283440695113825,0.2020599860361103,
BTC + Lagged ETH Robustness,Lagged_Log_BTC_Volume,-0.00045479610076240627,0.582612308149719,-0.0002649698060026777,-0.02649698060026777,-2.6496980600267768,0.7311925160873551,
BTC + Lagged ETH Robustness,Lagged_SP500_Return_Aligned,0.0601252909600144,0.010807912353154366,0.0006498288749037401,0.06498288749037401,6.4982887490374015,0.6738350041639232,
BTC + Lagged ETH Robustness,Lagged_VIX_Change_Aligned,0.00013035374014567513,1.8442717018389427,0.00024040771417953557,0.024040771417953556,2.4040771417953555,0.8566173204738661,
BTC + Lagged ETH Robustness,Lagged_Gold_Return_Aligned,0.08126366647954596,0.010138117912858869,0.0008238606328008737,0.08238606328008737,8.238606328008737,0.3465442490272752,
BTC + Lagged ETH Robustness,Lagged_DXY_Return_Aligned,-0.017299434045111573,0.004389376475026055,-7.593372882887757e-05,-0.007593372882887757,-0.7593372882887758,0.9343487069502854,
BTC + Lagged ETH Robustness,Lagged_US10Y_Change_Aligned,0.0019171152069068745,0.0633065300567964,0.0001213659114683915,0.01213659114683915,1.213659114683915,0.898334162885406,
BTC + Lagged ETH Robustness,ETH_Lagged_Return,0.038411196506184075,0.0414155377726067,0.001590820359792885,0.15908203597928852,15.908203597928852,0.6155798351017663,
ETH Baseline,ETH_Lagged_Return,-0.06031860963293443,0.0414155377726067,-0.0024981276556439143,-0.24981276556439144,-24.981276556439145,0.20182157332201855,
ETH Baseline,Lagged_Log_ETH_Volume,0.0003127099430185981,0.6705430708273108,0.00020968548546992414,0.020968548546992413,2.0968548546992416,0.822935781001179,
ETH Baseline,Lagged_SP500_Return_Aligned,0.050831165400564225,0.010807912353154366,0.0005493787804579909,0.05493787804579909,5.493787804579909,0.7721369947882736,
ETH Baseline,Lagged_VIX_Change_Aligned,-0.00045572812920863736,1.8442717018389427,-0.0008404864924314912,-0.08404864924314912,-8.404864924314912,0.642262692451977,
ETH Baseline,Lagged_Gold_Return_Aligned,0.08312967895642882,0.010138117912858869,0.000842778487318378,0.0842778487318378,8.42778487318378,0.4710453987786839,
ETH Baseline,Lagged_DXY_Return_Aligned,0.27656472023541123,0.004389376475026055,0.0012139466768234764,0.12139466768234765,12.139466768234763,0.38348321342766545,
ETH Baseline,Lagged_US10Y_Change_Aligned,-0.012510779654281382,0.0633065300567964,-0.0007920140482177212,-0.07920140482177213,-7.920140482177212,0.46073834702588534,
ETH + Lagged BTC Robustness,ETH_Lagged_Return,-0.06571270511246627,0.0414155377726067,-0.0027215270207255125,-0.27215270207255127,-27.215270207255124,0.16745789864736615,
ETH + Lagged BTC Robustness,Lagged_Log_ETH_Volume,0.00032843597258289093,0.6705430708273108,0.00022023046562588613,0.022023046562588612,2.2023046562588613,0.8138951959208177,
ETH + Lagged BTC Robustness,Lagged_SP500_Return_Aligned,0.04927242864626496,0.010807912353154366,0.0005325320902358841,0.05325320902358841,5.3253209023588415,0.7789343564776243,
ETH + Lagged BTC Robustness,Lagged_VIX_Change_Aligned,-0.0004594775491590598,1.8442717018389427,-0.0008474014415443658,-0.08474014415443658,-8.474014415443657,0.6387681326684196,
ETH + Lagged BTC Robustness,Lagged_Gold_Return_Aligned,0.08271385878388843,0.010138117912858869,0.0008385628533786181,0.08385628533786181,8.385628533786182,0.47198050928520985,
ETH + Lagged BTC Robustness,Lagged_DXY_Return_Aligned,0.277297614246243,0.004389376475026055,0.0012171636245533089,0.12171636245533089,12.171636245533088,0.3816554565157839,
ETH + Lagged BTC Robustness,Lagged_US10Y_Change_Aligned,-0.012643775671395331,0.0633065300567964,-0.0008004335645725796,-0.08004335645725796,-8.004335645725796,0.45518749287120575,
ETH + Lagged BTC Robustness,BTC_Lagged_Return,0.008905167393250944,0.033258272981092595,0.00029617048810706465,0.029617048810706464,2.9617048810706463,0.8473513841731879,
