Asset,Model,Date,Actual_Return,Predicted_Return,Forecast_Error,Squared_Error,Absolute_Error,Actual_Direction,Predicted_Direction,Direction_Correct,Training_Observations
BTC,Baseline,2024-01-02,0.0338522639689997,-0.0033474179112586164,0.037199681880258316,0.001383816331992419,0.037199681880258316,1,0,0,746
BTC,Baseline,2024-01-03,-0.0495283949100311,-0.008329752316119288,-0.041198642593911816,0.001697328151580885,0.041198642593911816,0,0,1,747
BTC,Baseline,2024-01-04,0.0353450262550083,0.006505568742401705,0.028839457512606595,0.000831714309621441,0.028839457512606595,1,1,1,748
BTC,Baseline,2024-01-05,-0.011940796433948,-0.00706848957496301,-0.004872306858984991,2.3739374128112186e-05,0.004872306858984991,0,0,1,749
BTC,Baseline,2024-01-08,0.0625227533679936,-0.0007682613955217457,0.06329101476351534,0.004005752549795517,0.06329101476351534,1,0,0,750
BTC,Baseline,2024-01-09,-0.0365736275970131,-0.008241085432545023,-0.02833254216446808,0.0008027329455013616,0.02833254216446808,0,0,1,751
BTC,Baseline,2024-01-10,0.0117857627732164,0.004712294173518563,0.007073468599697838,5.003395803091129e-05,0.007073468599697838,1,1,1,752
BTC,Baseline,2024-01-11,0.0042879617582345,-0.0033089101676198915,0.007596871925854391,5.771246305783461e-05,0.007596871925854391,1,0,0,753
BTC,Baseline,2024-01-12,-0.0611173108158078,0.0010191758239716687,-0.06213648663977946,0.0038609429719354917,0.06213648663977946,0,1,0,754
BTC,Baseline,2024-01-16,0.0173378165053253,0.0019510300179401672,0.015386786487385134,0.00023675319840837773,0.015386786487385134,1,1,1,755
BTC,Baseline,2024-01-17,-0.0184629924327535,-0.006594011840404305,-0.011868980592349195,0.00014087270030156186,0.011868980592349195,0,0,1,756
BTC,Baseline,2024-01-18,-0.0374453878278541,0.0022400716746044077,-0.03968545950245851,0.0015749356959212746,0.03968545950245851,0,1,0,757
BTC,Baseline,2024-01-19,0.0126903260598785,0.005905922847432446,0.006784403212446053,4.602812694904833e-05,0.006784403212446053,1,1,1,758
BTC,Baseline,2024-01-22,-0.0477340635951292,0.00449293627163617,-0.05222699986676537,0.00272765951508311,0.05222699986676537,0,1,0,759
BTC,Baseline,2024-01-23,-0.0157848381598462,0.008421274522807108,-0.02420611268265331,0.0005859358912053094,0.02420611268265331,0,1,0,760
BTC,Baseline,2024-01-24,0.0146539006178425,0.0021310669617092275,0.012522833656133273,0.00015682136277918424,0.012522833656133273,1,1,1,761
BTC,Baseline,2024-01-25,0.0033764521624908,-0.002548140839529283,0.005924593002020083,3.5100802239585336e-05,0.005924593002020083,1,0,0,762
BTC,Baseline,2024-01-26,0.0511836447493628,0.0020367188310001427,0.04914692591836266,0.002415420327225027,0.04914692591836266,1,1,1,763
BTC,Baseline,2024-01-29,0.0284577539356695,0.002635528202942625,0.025822225732726873,0.0006667873417919019,0.025822225732726873,1,1,1,764
BTC,Baseline,2024-01-30,0.008463291914936,-0.0004222868119662783,0.008885578726902278,7.895350931197831e-05,0.008885578726902278,1,0,0,765
BTC,Baseline,2024-01-31,-0.0253203398529352,0.001382559824800532,-0.02670289967773573,0.000713044851199219,0.02670289967773573,0,1,0,766
BTC,Baseline,2024-02-01,0.0151101750276914,0.007494072699680053,0.007616102328011347,5.8005014670739854e-05,0.007616102328011347,1,1,1,767
BTC,Baseline,2024-02-02,-0.0030709345087918,0.0037309982836617045,-0.006801932792453504,4.626628971305432e-05,0.006801932792453504,0,1,0,768
BTC,Baseline,2024-02-05,-0.0099771060049352,-0.00316568399384151,-0.0068114220110936895,4.63954698132116e-05,0.0068114220110936895,0,0,1,769
BTC,Baseline,2024-02-06,0.0191957994384833,-0.001716968951164329,0.020912768389647632,0.0004373438817190452,0.020912768389647632,1,0,0,770
BTC,Baseline,2024-02-07,0.0237601326122443,0.0030860878486402275,0.02067404476360407,0.0004274161268875049,0.02067404476360407,1,1,1,771
BTC,Baseline,2024-02-08,0.0254506904489161,-0.0017064673478865205,0.02715715779680262,0.0007375112196004374,0.02715715779680262,1,0,0,772
BTC,Baseline,2024-02-09,0.0477527202298084,-0.004725768334795891,0.05247848856460429,0.0027539917620253034,0.05247848856460429,1,0,0,773
BTC,Baseline,2024-02-12,0.0353261638907621,0.0004264991283772189,0.034899664762384874,0.0012179866005268484,0.034899664762384874,1,1,1,774
BTC,Baseline,2024-02-13,-0.0056006054205141,-0.005663599345921323,6.299392540722298e-05,3.968234638210773e-09,6.299392540722298e-05,0,0,1,775
BTC,Baseline,2024-02-14,0.0436132410837892,-0.005944649783063402,0.049557890866852604,0.002455984547170873,0.049557890866852604,1,0,0,776
BTC,Baseline,2024-02-15,-0.0078045487792248,-0.004140365993102888,-0.0036641827861219117,1.3426235490112135e-05,0.0036641827861219117,0,0,1,777
BTC,Baseline,2024-02-16,0.0123332365534209,0.0027886649264583794,0.009544571626962522,9.1098847542218e-05,0.009544571626962522,1,1,1,778
BTC,Baseline,2024-02-20,0.0025305841161619,9.277179388633293e-05,0.0024378123222755675,5.9429289186385955e-06,0.0024378123222755675,1,1,1,779
BTC,Baseline,2024-02-21,-0.0123095793303188,0.0013850792892572963,-0.013694658619576095,0.00018754367470672986,0.013694658619576095,0,1,0,780
BTC,Baseline,2024-02-22,0.0048252652384898,0.001106931330038372,0.0037183339084514285,1.3826007054739677e-05,0.0037183339084514285,1,1,1,781
BTC,Baseline,2024-02-23,-0.0127467295829595,0.00023713975785454315,-0.012983869340814044,0.0001685808630593309,0.012983869340814044,0,1,0,782
BTC,Baseline,2024-02-26,0.054477868421388,0.00561185149277631,0.048866016928611686,0.0023878876104673637,0.048866016928611686,1,1,1,783
BTC,Baseline,2024-02-27,0.0370866690709048,-0.00803413126376556,0.045120800334670357,0.0020358866228411886,0.045120800334670357,1,0,0,784
BTC,Baseline,2024-02-28,0.0653611164555198,-0.006501607997643793,0.07186272445316359,0.0051642511658313165,0.07186272445316359,1,0,0,785
BTC,Baseline,2024-02-29,0.0144659832331768,-0.010223323061069094,0.024689306294245893,0.0006095618452910898,0.024689306294245893,1,0,0,786
BTC,Baseline,2024-03-01,0.0186672665495534,-0.002157553976146978,0.02082482052570038,0.00043367314992763187,0.02082482052570038,1,0,0,787
BTC,Baseline,2024-03-04,0.0713198625460871,0.002848929550642278,0.06847093299544482,0.004688268665266695,0.06847093299544482,1,1,1,788
BTC,Baseline,2024-03-05,-0.0639026739485315,-0.010714743433265256,-0.05318793051526624,0.00282895595249679,0.05318793051526624,0,0,1,789
BTC,Baseline,2024-03-06,0.0485709262478393,0.009355754027089951,0.03921517222074935,0.0015378297323030315,0.03921517222074935,1,1,1,790
BTC,Baseline,2024-03-07,0.0130996287460495,-0.00676221200530591,0.01986184075135541,0.00039449271803220247,0.01986184075135541,1,0,0,791
BTC,Baseline,2024-03-08,0.0158720046586772,-0.000997796084007166,0.016869800742684366,0.000284590177097874,0.016869800742684366,1,0,0,792
BTC,Baseline,2024-03-11,0.0384551390662724,-0.00019330098462642345,0.03864844005089882,0.00149370191836792,0.03864844005089882,1,0,0,793
BTC,Baseline,2024-03-12,-0.0151119845397079,-0.00678682352232426,-0.00832516101738364,6.930830596536422e-05,0.00832516101738364,0,0,1,794
BTC,Baseline,2024-03-13,0.0289650139705572,-0.0009383763732714655,0.029903390343828665,0.0008942127540553854,0.029903390343828665,1,0,0,795
BTC,Baseline,2024-03-14,-0.0344861760711693,-0.004135461949999514,-0.030350714121169787,0.0009211658476649752,0.030350714121169787,0,0,1,796
BTC,Baseline,2024-03-15,-0.0406201072419309,-0.00023185093545153874,-0.04038825630647936,0.0016312112474778698,0.04038825630647936,0,0,1,797
BTC,Baseline,2024-03-18,-0.0130368983299158,-0.0030097866044601768,-0.010027111725455623,0.00010054296955476964,0.010027111725455623,0,0,1,798
BTC,Baseline,2024-03-19,-0.0552806436597765,0.0004229731909363525,-0.05570361685071285,0.0031028929302510206,0.05570361685071285,0,1,0,799
BTC,Baseline,2024-03-20,0.0509143604426563,0.007339250639987752,0.043575109802668544,0.0018987901943146202,0.043575109802668544,1,1,1,800
BTC,Baseline,2024-03-21,-0.024189556045524,-0.006580028226201833,-0.017609527819322165,0.00031009547001948127,0.017609527819322165,0,0,1,801
BTC,Baseline,2024-03-22,-0.030418267244856,0.003899770025824213,-0.03431803727068021,0.001177727682111796,0.03431803727068021,0,1,0,802
BTC,Baseline,2024-03-25,0.0702696771695903,-0.0004417258324205648,0.07071140300201087,0.005000102514512792,0.07071140300201087,1,0,0,803
BTC,Baseline,2024-03-26,-0.01624502386136,-0.010222765219759188,-0.006022258641600813,3.626759914633567e-05,0.006022258641600813,0,0,1,804
BTC,Baseline,2024-03-27,-0.0138229616432781,0.0034180226526788512,-0.01724098429595695,0.0002972515394934342,0.01724098429595695,0,1,0,805
BTC,Baseline,2024-03-28,0.0263831247700204,0.003978110465475018,0.022405014304545383,0.0005019846659868832,0.022405014304545383,1,1,1,806
BTC,Baseline,2024-04-01,-0.0153763839696944,0.0008086160428713903,-0.01618500001256579,0.00026195422540675463,0.01618500001256579,0,1,0,807
BTC,Baseline,2024-04-02,-0.0604915918986163,-0.0023665149036856945,-0.0581250769949306,0.0033785245756666107,0.0581250769949306,0,0,1,808
BTC,Baseline,2024-04-03,0.001004543359742,0.006890823648763956,-0.0058862802890219555,3.4648295640928396e-05,0.0058862802890219555,1,1,1,809
BTC,Baseline,2024-04-04,0.0332365350980435,0.0016642703018107429,0.031572264796232756,0.0009968079043634382,0.031572264796232756,1,1,1,810
BTC,Baseline,2024-04-05,-0.004570511889834,-0.002959172002156911,-0.0016113398876770892,2.5964162336192143e-06,0.0016113398876770892,0,0,1,811
BTC,Baseline,2024-04-08,0.0338188882276003,-0.0028032771078226287,0.036622165335422924,0.0013411829938550525,0.036622165335422924,1,0,0,812
BTC,Baseline,2024-04-09,-0.0363839147837078,-0.004378518930588701,-0.0320053958531191,0.0010243453637148534,0.0320053958531191,0,0,1,813
BTC,Baseline,2024-04-10,0.0095073964286869,0.008419755234138857,0.001087641194548043,1.1829633680778938e-06,0.001087641194548043,1,1,1,814
BTC,Baseline,2024-04-11,0.0101130102786856,-0.009808862794145006,0.019921873072830606,0.0003968810267299732,0.019921873072830606,1,0,0,815
BTC,Baseline,2024-04-12,-0.0489131995699212,0.0003217121535731731,-0.04923491172349437,0.002424076532420283,0.04923491172349437,0,1,0,816
BTC,Baseline,2024-04-15,-0.011409078485891,-0.0041832927566978866,-0.007225785729193114,5.221197940421086e-05,0.007225785729193114,0,0,1,817
BTC,Baseline,2024-04-16,-0.0015612310741558,-0.004459023394306341,0.0028977923201505412,8.397200330723457e-06,0.0028977923201505412,0,0,1,818
BTC,Baseline,2024-04-17,-0.0354879594851966,-0.0001476669588721996,-0.035340292526324396,0.00124893627584618,0.035340292526324396,0,0,1,819
BTC,Baseline,2024-04-18,0.0431290544363939,0.008571392828057854,0.034557661608336045,0.001194231975836263,0.034557661608336045,1,1,1,820
BTC,Baseline,2024-04-19,0.0083707755536935,-0.007389462319691787,0.015760237873385288,0.00024838509782568804,0.015760237873385288,1,0,0,821
BTC,Baseline,2024-04-22,0.028786931697061,0.003359795502140963,0.025427136194920038,0.0006465392550750127,0.025427136194920038,1,1,1,822
BTC,Baseline,2024-04-23,-0.0028947271708792,-0.002299809638045364,-0.000594917532833836,3.5392687087309834e-07,0.000594917532833836,0,0,1,823
BTC,Baseline,2024-04-24,-0.0354649271994759,0.0034233054152635147,-0.038888232614739414,0.0015122946358980822,0.038888232614739414,0,1,0,824
BTC,Baseline,2024-04-25,0.0116275867015831,0.004078806254816496,0.0075487804467666035,5.69840862334858e-05,0.0075487804467666035,1,1,1,825
BTC,Baseline,2024-04-26,-0.0132938972454768,-0.0016485363339126566,-0.011645360911564142,0.00013561443076058602,0.011645360911564142,0,0,1,826
BTC,Baseline,2024-04-29,-0.0113181186472079,0.0026008782370185706,-0.013918996884226471,0.0001937384742631062,0.013918996884226471,0,1,0,827
BTC,Baseline,2024-04-30,-0.0501919055068689,0.0052480694075070266,-0.05543997491437593,0.0030735908185066324,0.05543997491437593,0,1,0,828
BTC,Baseline,2024-05-01,-0.0441131876491687,0.003963528371607206,-0.04807671602077591,0.002311370623342331,0.04807671602077591,0,1,0,829
BTC,Baseline,2024-05-02,0.0247850036738036,0.008882301604641778,0.01590270206916182,0.0002528959331005236,0.01590270206916182,1,1,1,830
BTC,Baseline,2024-05-03,0.069337382317619,-0.00025117110543514077,0.06958855342305414,0.004842566767513261,0.06958855342305414,1,0,0,831
BTC,Baseline,2024-05-06,-0.0070055858689724,0.0068764594115982795,-0.01388204528057068,0.0001927111811718147,0.01388204528057068,0,1,0,832
BTC,Baseline,2024-05-07,-0.0051793891028767,0.002488929449696156,-0.007668318552572856,5.880310942373306e-05,0.007668318552572856,0,1,0,833
BTC,Baseline,2024-05-08,-0.0226029285609912,0.0027108388618484083,-0.025313767422839608,0.0006407868211376158,0.025313767422839608,0,1,0,834
BTC,Baseline,2024-05-09,0.0169175661540506,0.004208913563967694,0.012708652590082907,0.00016150985065542097,0.012708652590082907,1,1,1,835
BTC,Baseline,2024-05-10,-0.0345572554020824,0.001029436384689664,-0.03558669178677206,0.00126641263232671,0.03558669178677206,0,1,0,836
BTC,Baseline,2024-05-13,0.0294764616413887,0.0013387122114625872,0.028137749429926116,0.0007917329429813075,0.028137749429926116,1,1,1,837
BTC,Baseline,2024-05-14,-0.0234332793162606,-0.00336696447126941,-0.02006631484499119,0.0004026569914583138,0.02006631484499119,0,0,1,838
BTC,Baseline,2024-05-15,0.0682091139504595,0.006100851315240401,0.062108262635219104,0.0038574362875653536,0.062108262635219104,1,1,1,839
BTC,Baseline,2024-05-16,-0.0105982560276306,-0.004184516956910686,-0.006413739070719913,4.113604886727914e-05,0.006413739070719913,0,0,1,840
BTC,Baseline,2024-05-17,0.0247962841999007,0.0014598163954504051,0.023336467804450294,0.0005445907295881452,0.023336467804450294,1,1,1,841
BTC,Baseline,2024-05-20,0.0496603236030745,0.0036834219485555584,0.04597690165451894,0.0021138754857493065,0.04597690165451894,1,1,1,842
BTC,Baseline,2024-05-21,0.0026500545160474,-0.0075374213382995315,0.010187475854346931,0.00010378466428290174,0.010187475854346931,1,0,0,843
BTC,Baseline,2024-05-22,-0.0043702404899438,0.00025577373902743034,-0.00462601422897123,2.1400007646644286e-05,0.00462601422897123,0,1,0,844
BTC,Baseline,2024-05-23,-0.024324755118298,-0.000625810952225488,-0.023698944166072513,0.0005616399545866224,0.023698944166072513,0,0,1,845
BTC,Baseline,2024-05-24,0.016470857244696,0.00015026126490473395,0.01632059597979127,0.00026636185313557895,0.01632059597979127,1,1,1,846
BTC,Baseline,2024-05-28,-0.0194878259779661,-0.0005092007769534578,-0.018978625201012643,0.0003601882145205122,0.018978625201012643,0,0,1,847
BTC,Baseline,2024-05-29,-0.0123181229600415,0.0007648549858485903,-0.013082977945890091,0.0001711643119326465,0.013082977945890091,0,1,0,848
BTC,Baseline,2024-05-30,0.0156534342388203,-0.001066157892298155,0.016719592131118455,0.00027954476103095815,0.016719592131118455,1,0,0,849
BTC,Baseline,2024-05-31,-0.0123803512892118,0.0017779799122408892,-0.01415833120145269,0.00020045834241002875,0.01415833120145269,0,1,0,850
BTC,Baseline,2024-06-03,0.0192119745643597,0.00465903411277304,0.01455294045158666,0.00021178807578742736,0.01455294045158666,1,1,1,851
