Asset,Date,Comparison,Forecast_Role,Model,Sample,Target_Return,Forecast,Forecast_Error,Squared_Error,Absolute_Error,Estimation_N,Estimation_Start,Estimation_End,No_Lookahead,Days_Of_Lead,Weekend,Year
BTC,2024-01-01,Activity,Benchmark,M0_Benchmark,Activity_Comparison_Sample,0.0259395929681509,-0.0010462135513069344,0.026985806519457835,0.000728233753505613,0.026985806519457835,1090,2021-01-06,2023-12-31,True,1,False,2024
BTC,2024-01-01,Activity,Extended,M1_Activity,Activity_Comparison_Sample,0.0259395929681509,-0.0007989501134145725,0.026738543081565473,0.0007149496861247329,0.026738543081565473,1090,2021-01-06,2023-12-31,True,1,False,2024
BTC,2024-01-02,Activity,Benchmark,M0_Benchmark,Activity_Comparison_Sample,0.0338522639689997,-0.004029375900077703,0.0378816398690774,0.0014350186391704745,0.0378816398690774,1091,2021-01-06,2024-01-01,True,1,False,2024
BTC,2024-01-02,Activity,Extended,M1_Activity,Activity_Comparison_Sample,0.0338522639689997,-0.003521034574255767,0.03737329854325547,0.0013967634440033012,0.03737329854325547,1091,2021-01-06,2024-01-01,True,1,False,2024
BTC,2024-01-03,Activity,Benchmark,M0_Benchmark,Activity_Comparison_Sample,-0.0495283949100311,-0.006257925962137795,-0.043270468947893305,0.0018723334829705987,0.043270468947893305,1092,2021-01-06,2024-01-02,True,1,False,2024
BTC,2024-01-03,Activity,Extended,M1_Activity,Activity_Comparison_Sample,-0.0495283949100311,-0.006314903994288367,-0.04321349091574274,0.00186740579712498,0.04321349091574274,1092,2021-01-06,2024-01-02,True,1,False,2024
BTC,2024-01-04,Activity,Benchmark,M0_Benchmark,Activity_Comparison_Sample,0.0353450262550083,0.005224086528261747,0.030120939726746555,0.0009072710100222988,0.030120939726746555,1093,2021-01-06,2024-01-03,True,1,False,2024
BTC,2024-01-04,Activity,Extended,M1_Activity,Activity_Comparison_Sample,0.0353450262550083,0.004778240524519424,0.030566785730488877,0.0009343283898936184,0.030566785730488877,1093,2021-01-06,2024-01-03,True,1,False,2024
BTC,2024-01-05,Activity,Benchmark,M0_Benchmark,Activity_Comparison_Sample,-0.011940796433948,-0.005825526439910225,-0.006115269994037776,3.739652709997878e-05,0.006115269994037776,1094,2021-01-06,2024-01-04,True,1,False,2024
BTC,2024-01-05,Activity,Extended,M1_Activity,Activity_Comparison_Sample,-0.011940796433948,-0.006689768544241692,-0.005251027889706309,2.7573293898473492e-05,0.005251027889706309,1094,2021-01-06,2024-01-04,True,1,False,2024
