Asset,Year,Model,N,Sentiment_Coefficient,HAC_SE,t_stat,p_value,R_Squared,Adjusted_R_Squared,Statistically_Significant_5pct,HAC_Maxlags,Status
BTC,2021,M2_Sentiment,360,0.04025870069204422,0.04508827929121943,0.8928861629874678,0.3719181378343345,0.020856227364950963,-0.0014604398176143452,False,7,Estimated
BTC,2021,M3_Both,360,0.03869571738167822,0.04526751929307602,0.8548230162812787,0.39264913423275116,0.021627906430740307,-0.003530233118183679,False,7,Estimated
BTC,2022,M2_Sentiment,365,-0.010860318859930619,0.026917921439160174,-0.40346053035621965,0.6866094651017174,0.01725491155805081,-0.004829247732779596,False,7,Estimated
BTC,2022,M3_Both,365,-0.009481447374869539,0.028077711227062038,-0.3376859067391173,0.7355998963335946,0.01763594370230559,-0.007269060541861272,False,7,Estimated
BTC,2023,M2_Sentiment,365,-0.0013426336737013158,0.023705685109917336,-0.056637623737759914,0.954833863225001,0.10656553258095203,0.08648835353782736,False,7,Estimated
BTC,2023,M3_Both,365,0.0004822835934453736,0.023414251752748295,0.020597864861889706,0.9835664436991447,0.11297282873247605,0.09048481593977831,False,7,Estimated
BTC,2024,M2_Sentiment,366,-0.010388717948319661,0.016814712419335038,-0.6178350059899804,0.5366841054875156,0.008865901767465045,-0.013344386148109955,False,7,Estimated
BTC,2024,M3_Both,366,-0.009846845693316585,0.016870940523048727,-0.5836571873313185,0.5594509766769624,0.009426897905866927,-0.015615680517861108,False,7,Estimated
BTC,2025,M2_Sentiment,365,0.0007172244616907939,0.015405442016736803,0.04655656494059605,0.9628666506217021,0.027010125774502458,0.005145184780671053,False,7,Estimated
BTC,2025,M3_Both,365,0.0012037617374757031,0.015318894522617258,0.0785801962209763,0.9373665399480404,0.027943403235731412,0.003299714867059822,False,7,Estimated
ETH,2021,M2_Sentiment,360,0.005038687895995747,0.02215062768446372,0.22747382005476277,0.8200553242469621,0.02830536602223943,0.006158479777731984,False,7,Estimated
ETH,2021,M3_Both,360,0.0038049057535339366,0.0226404813669707,0.16805763498848406,0.8665379376287152,0.028444340503145815,0.003461480687512286,False,7,Estimated
ETH,2022,M2_Sentiment,365,0.0311354348481174,0.017080768713922938,1.8228356913900585,0.06832828025052422,0.019910408931374413,-0.0021140762611790986,False,7,Estimated
ETH,2022,M3_Both,365,0.031119199797136315,0.017082920440951783,1.821655723604277,0.06850724010242668,0.01991183971342192,-0.00493546575863224,False,7,Estimated
ETH,2023,M2_Sentiment,355,-0.0009114956740395317,0.004485148715982355,-0.20322529569454698,0.838958942250416,0.05704792084976196,0.03524556063819573,False,7,Estimated
ETH,2023,M3_Both,355,-0.0008343910899993737,0.004443657245662803,-0.1877712532427596,0.8510559714940362,0.057506926927210156,0.032920151107919904,False,7,Estimated
ETH,2024,M2_Sentiment,354,-0.001921716702674454,0.005010415428891036,-0.38354438468184876,0.701316167429249,0.021430841274608148,-0.0012606174784444146,False,7,Estimated
ETH,2024,M3_Both,354,-0.001919067399265167,0.004944286432821232,-0.3881383947592491,0.6979136199565252,0.02143102782894335,-0.004171067373206494,False,7,Estimated
ETH,2025,M2_Sentiment,365,0.003786813903968532,0.012584385208299152,0.3009136991031714,0.7634803038204616,0.011298591187005935,-0.010919417999802894,False,7,Estimated
ETH,2025,M3_Both,365,0.0017108332775695317,0.014559369249607802,0.11750737605721606,0.9064579992913075,0.011739641752467223,-0.01331484620310408,False,7,Estimated
