File,Exists,Size_Bytes
table_all_oos_model_comparisons.csv,True,981
table_compact_robustness_summary.csv,True,851
table_correlation_matrix_btc.csv,True,1019
table_correlation_matrix_eth.csv,True,1007
table_cross_crypto_robustness.csv,True,590
table_descriptive_statistics.csv,True,1814
table_descriptive_statistics_publication.csv,True,1309
table_economic_significance.csv,True,390
table_extreme_return_and_lag_sensitivity.csv,True,479
table_extreme_return_sensitivity.csv,True,480
table_final_hypothesis_summary.csv,True,694
table_h1_h2_m2_m3_robustness.csv,True,467
table_h1_h2_primary_results.csv,True,260
table_h3_h4_primary_oos_results.csv,True,466
table_h5_btc_eth_difference_test.csv,True,203
table_high_correlation_diagnostic.csv,True,88
table_model_specifications.csv,True,280
table_notes_part2.csv,True,779
table_notes_part3.csv,True,1043
table_primary_regressions_btc.csv,True,984
table_primary_regressions_combined.csv,True,1922
table_primary_regressions_eth.csv,True,987
table_primary_sentiment_oos_by_year.csv,True,482
table_sentiment_lag_robustness.csv,True,654
table_vif_diagnostics.csv,True,650
table_weekend_weekday_oos.csv,True,473
table_year_regime_robustness.csv,True,1896
